#,When,Who,Problem Name,Lang,Number,Class,Number_Class
4464166,2013/09/14 20:18,RedNextCentury,SimpleMolecules,GNU C++,344,B,344B
4514850,2013/09/20 20:00,RedNextCentury,FixedPoints,GNU C++,347,B,347B
4518021,2013/09/20 20:33,RedNextCentury,DifferenceRow,GNU C++,347,A,347A
4574590,2013/09/27 19:36,RedNextCentury,CinemaLine,GNU C++,349,A,349A
4621771,2013/10/01 19:37,RedNextCentury,TL,GNU C++,350,A,350A
4662222,2013/10/04 19:58,RedNextCentury,JeffandDigits,GNU C++,352,A,352A
4665694,2013/10/04 20:25,RedNextCentury,JeffandPeriods,GNU C++,352,B,352B
4770816,2013/10/13 19:59,RedNextCentury,VasyaandPublicTransport,GNU C++,355,B,355B
4826897,2013/10/19 22:53,RedNextCentury,RegistrationSystem,GNU C++,4,C,4C
4855186,2013/10/23 21:23,RedNextCentury,"Alice,BobandChocolate",GNU C++,6,C,6C
4867566,2013/10/25 00:45,RedNextCentury,GroupofStudents,GNU C++,357,A,357A
4883618,2013/10/25 20:03,RedNextCentury,DimaandTextMessages,GNU C++,358,B,358B
4887673,2013/10/25 20:48,RedNextCentury,DimaandContinuousLine,GNU C++,358,A,358A
4901312,2013/10/26 13:43,RedNextCentury,DimaandHares,GNU C++,358,D,358D
4922574,2013/10/28 21:58,RedNextCentury,LittleGirlandGame,GNU C++,276,B,276B
5044515,2013/11/10 21:06,RedNextCentury,LevkoandTable,GNU C++,361,A,361A
5048546,2013/11/10 21:57,RedNextCentury,LevkoandPermutation,GNU C++,361,B,361B
5103458,2013/11/14 20:16,RedNextCentury,TwoSemiknightsMeet,GNU C++,362,A,362A
5145287,2013/11/18 23:42,RedNextCentury,BuildingPermutation,GNU C++,285,C,285C
5150576,2013/11/19 19:37,RedNextCentury,GoodNumber,GNU C++,365,A,365A
5153849,2013/11/19 19:52,RedNextCentury,TheFibonacciSegment,GNU C++,365,B,365B
5214235,2013/11/24 19:40,RedNextCentury,DimaandGuards,GNU C++,366,A,366A
5217641,2013/11/24 20:15,RedNextCentury,DimaandTodoList,GNU C++,366,B,366B
5238835,2013/11/26 00:42,RedNextCentury,Cigarettes,GNU C++,100227,J,100227J
5243440,2013/11/26 17:21,RedNextCentury,PolothePenguinandStrings,GNU C++,289,C,289C
5244492,2013/11/26 19:33,RedNextCentury,SerejaandCoatRack,GNU C++,368,A,368A
5249909,2013/11/26 20:12,RedNextCentury,SerejaandSuffixes,GNU C++,368,B,368B
5296686,2013/11/29 19:45,RedNextCentury,ValeraandPlates,GNU C++,369,A,369A
5392326,2013/12/08 21:10,RedNextCentury,"Rook,BishopandKing",GNU C++,370,A,370A
5392481,2013/12/08 21:32,RedNextCentury,BerlandBingo,GNU C++,370,B,370B
5420905,2013/12/13 18:04,RedNextCentury,CollectingBeatsisFun,GNU C++,373,A,373A
5462940,2013/12/18 19:57,RedNextCentury,InnaandNine,GNU C++,374,B,374B
5486542,2013/12/21 15:14,RedNextCentury,Domino,GNU C++,353,A,353A
5505909,2013/12/24 18:35,RedNextCentury,I.O.U.,GNU C++,376,B,376B
5551959,2013/12/29 19:33,RedNextCentury,PlayingwithDice,GNU C++,378,A,378A
5570518,2013/12/30 19:33,RedNextCentury,NewYearCandles,GNU C++,379,A,379A
5573851,2013/12/30 19:44,RedNextCentury,NewYearPresent,GNU C++,379,B,379B
5587181,2013/12/31 00:39,RedNextCentury,WordCapitalization,GNU C++,281,A,281A
5591971,2013/12/31 15:55,RedNextCentury,Coach,GNU C++,300,B,300B
5607457,2014/01/03 03:05,RedNextCentury,StringsofPower,GNU C++,318,B,318B
5611470,2014/01/03 20:49,RedNextCentury,HungrySequence,GNU C++,327,B,327B
5665337,2014/01/12 17:07,RedNextCentury,XeniaandSpies,GNU C++,342,B,342B
5666457,2014/01/12 19:35,RedNextCentury,SerejaandDima,GNU C++,381,A,381A
5669375,2014/01/12 19:55,RedNextCentury,SerejaandStairs,GNU C++,381,B,381B
5685671,2014/01/13 21:11,RedNextCentury,Square,GNU C++,194,B,194B
5691230,2014/01/14 19:00,RedNextCentury,Dubstep,GNU C++,208,A,208A
5711672,2014/01/17 19:38,RedNextCentury,KseniaandPanScales,GNU C++,382,A,382A
5716577,2014/01/17 20:20,RedNextCentury,ArithmeticProgression,GNU C++,382,C,382C
5748282,2014/01/20 19:38,RedNextCentury,Coder,GNU C++,384,A,384A
5751149,2014/01/20 19:57,RedNextCentury,Multitasking,GNU C++,384,B,384B
5786408,2014/01/24 19:40,RedNextCentury,BearandRaspberry,GNU C++,385,A,385A
5840316,2014/01/30 19:39,RedNextCentury,GeorgeandSleep,GNU C++,387,A,387A
5843420,2014/01/30 19:59,RedNextCentury,GeorgeandRound,GNU C++,387,B,387B
5876038,2014/02/03 19:51,RedNextCentury,FoxandNumberGame,GNU C++,389,A,389A
5880086,2014/02/03 20:21,RedNextCentury,FoxandBoxAccumulation,GNU C++,389,C,389C
5889900,2014/02/04 00:19,RedNextCentury,FoxandCross,GNU C++,389,B,389B
5925740,2014/03/04 21:47,RedNextCentury,Pages,GNU C++,399,A,399A
5940691,2014/03/05 20:53,RedNextCentury,InnaandNewMatrixofCandies,GNU C++,400,B,400B
5941973,2014/03/05 21:09,RedNextCentury,InnaandChooseOptions,GNU C++,400,A,400A
5978509,2014/03/10 19:33,RedNextCentury,VanyaandCards,GNU C++,401,A,401A
5980694,2014/03/10 19:46,RedNextCentury,SerejaandContests,GNU C++,401,B,401B
5983410,2014/03/10 20:10,RedNextCentury,Team,GNU C++,401,C,401C
5990763,2014/03/11 00:17,RedNextCentury,SoftDrinking,GNU C++,151,A,151A
5990777,2014/03/11 00:19,RedNextCentury,Army,GNU C++,38,A,38A
6069972,2014/03/19 19:44,RedNextCentury,ValeraandX,GNU C++,404,A,404A
6110438,2014/03/22 20:10,RedNextCentury,DominoEffect,MS C++,405,B,405B
6113044,2014/03/22 20:42,RedNextCentury,GravityFlip,MS C++,405,A,405A
6271764,2014/04/06 19:44,RedNextCentury,MashmokhandLights,GNU C++,415,A,415A
6281302,2014/04/06 20:41,RedNextCentury,MashmokhandTokens,GNU C++,415,B,415B
6283000,2014/04/06 20:56,RedNextCentury,MashmokhandNumbers,GNU C++,415,C,415C
6359376,2014/04/15 00:15,RedNextCentury,PasswordCheck,GNU C++,411,A,411A
6368149,2014/04/15 19:13,RedNextCentury,Kicker,GNU C++,411,C,411C
6383498,2014/04/17 13:49,RedNextCentury,Subway,GNU C++,131,D,131D
6386619,2014/04/17 19:54,RedNextCentury,Elimination,GNU C++,417,A,417A
6387410,2014/04/17 20:01,RedNextCentury,Crash,GNU C++,417,B,417B
6395776,2014/04/17 22:32,RedNextCentury,Football,GNU C++,417,C,417C
6404311,2014/04/18 20:17,RedNextCentury,Poster,GNU C++,412,A,412A
6404768,2014/04/18 20:21,RedNextCentury,NetworkConfiguration,GNU C++,412,B,412B
6422952,2014/04/20 11:05,RedNextCentury,DataRecovery,GNU C++,413,A,413A
6423739,2014/04/20 11:16,RedNextCentury,SpykeChatting,GNU C++,413,B,413B
6427834,2014/04/20 13:14,RedNextCentury,Jeopardy!,GNU C++,413,C,413C
6440300,2014/04/22 16:18,RedNextCentury,PashaandHamsters,GNU C++,421,A,421A
6441514,2014/04/22 16:26,RedNextCentury,StartUp,GNU C++,421,B,421B
6463954,2014/04/25 11:04,RedNextCentury,Squats,GNU C++,424,A,424A
6464853,2014/04/25 11:14,RedNextCentury,Megacity,GNU C++,424,B,424B
6485234,2014/04/27 19:34,RedNextCentury,SerejaandMugs,GNU C++,426,A,426A
6486403,2014/04/27 19:40,RedNextCentury,SerejaandMirroring,GNU C++,426,B,426B
6589928,2014/05/11 20:06,RedNextCentury,BallsGame,GNU C++,430,B,430B
6594696,2014/05/11 21:06,RedNextCentury,Xortree,GNU C++,430,C,430C
6595582,2014/05/11 21:19,RedNextCentury,PointsandSegments(easy),GNU C++,430,A,430A
6668105,2014/05/21 19:32,RedNextCentury,BlackSquare,GNU C++,431,A,431A
6670013,2014/05/21 19:43,RedNextCentury,ShowerLine,GNU C++,431,B,431B
6691950,2014/05/24 11:07,RedNextCentury,KitaharaHaruki'sGift,GNU C++,433,A,433A
6693986,2014/05/24 11:20,RedNextCentury,KuriyamaMirai'sStones,GNU C++,433,B,433B
6720075,2014/05/27 12:30,RedNextCentury,Tetrahedron,GNU C++,166,E,166E
6726242,2014/05/28 14:01,RedNextCentury,AnotherProblemonStrings,GNU C++,165,C,165C
6736186,2014/05/29 21:32,RedNextCentury,Palindromepairs,GNU C++,159,D,159D
6736467,2014/05/29 22:29,RedNextCentury,AnagramSearch,GNU C++,144,C,144C
6736522,2014/05/29 22:38,RedNextCentury,Weather,GNU C++,234,C,234C
6741365,2014/05/30 19:33,RedNextCentury,QueueonBusStop,GNU C++,435,A,435A
6747301,2014/05/30 20:22,RedNextCentury,Cardiogram,GNU C++,435,C,435C
6748506,2014/05/30 20:39,RedNextCentury,PashaMaximizes,GNU C++,435,B,435B
6769768,2014/06/01 17:53,RedNextCentury,TheChildandToy,GNU C++,437,C,437C
6796066,2014/06/04 15:13,RedNextCentury,ForgottenEpisode,GNU C++,440,A,440A
6798091,2014/06/04 19:34,RedNextCentury,"Devu,theSingerandChuru,theJoker",GNU C++,439,A,439A
6806942,2014/06/04 20:44,RedNextCentury,"Devu,theDumbGuy",MS C++,439,B,439B
6829034,2014/06/07 01:51,RedNextCentury,CowsandSequence,MS C++,284,C,284C
6833351,2014/06/07 20:00,RedNextCentury,GregandArray,MS C++,296,C,296C
6834338,2014/06/08 01:54,RedNextCentury,MashmokhandACM,MS C++,415,D,415D
6838502,2014/06/08 19:33,RedNextCentury,ValeraandAntiqueItems,MS C++,441,A,441A
6841444,2014/06/08 19:53,RedNextCentury,ValeraandTubes,MS C++,441,C,441C
6876199,2014/06/13 19:55,RedNextCentury,OmNomandSpiders,MS C++,436,B,436B
6881524,2014/06/13 20:56,RedNextCentury,FeedwithCandy,MS C++,436,A,436A
6914142,2014/06/19 19:36,RedNextCentury,AntonandLetters,MS C++,443,A,443A
6970754,2014/06/27 20:06,RedNextCentury,EugenyandArray,MS C++,302,A,302A
6970837,2014/06/27 20:22,RedNextCentury,EugenyandPlayList,MS C++,302,B,302B
7022048,2014/07/06 17:12,RedNextCentury,DZYLovesChessboard,MS C++,445,A,445A
7025749,2014/07/06 17:41,RedNextCentury,DZYLovesChemistry,MS C++,445,B,445B
7075485,2014/07/13 17:07,RedNextCentury,DZYLovesHash,MS C++,447,A,447A
7077286,2014/07/13 17:15,RedNextCentury,DZYLovesStrings,MS C++,447,B,447B
7091064,2014/07/13 19:47,RedNextCentury,DZYLovesSequences,MS C++,447,C,447C
7218389,2014/07/24 19:34,RedNextCentury,GameWithSticks,MS C++,451,A,451A
7221306,2014/07/24 19:49,RedNextCentury,SorttheArray,MS C++,451,B,451B
7274394,2014/07/28 09:49,RedNextCentury,ZebraTower,MS C++,159,E,159E
7308739,2014/08/01 19:34,RedNextCentury,LittlePonyandCrystalMine,MS C++,454,A,454A
7454653,2014/08/15 19:35,RedNextCentury,PashmakandGarden,MS C++,459,A,459A
7455658,2014/08/15 19:41,RedNextCentury,PashmakandFlowers,MS C++,459,B,459B
7470051,2014/08/15 20:56,RedNextCentury,PashmakandParmida'sproblem,MS C++,459,D,459D
7492060,2014/08/17 15:03,RedNextCentury,ObsessionwithRobots,MS C++,8,B,8B
7492287,2014/08/17 15:43,RedNextCentury,RoadMap,MS C++,34,D,34D
7580478,2014/08/26 18:03,RedNextCentury,ApplemanandEasyTask,MS C++,462,A,462A
7583724,2014/08/26 18:17,RedNextCentury,ApplemanandToastman,MS C++,462,C,462C
7628079,2014/08/30 11:41,RedNextCentury,CaisaandSugar,MS C++,463,A,463A
7629510,2014/08/30 11:48,RedNextCentury,CaisaandPylons,MS C++,463,B,463B
7701064,2014/09/07 19:34,RedNextCentury,incARG,MS C++,465,A,465A
7702595,2014/09/07 19:42,RedNextCentury,Inbox(100500),MS C++,465,B,465B
7706757,2014/09/07 20:09,RedNextCentury,NotoPalindromes!,MS C++,465,C,465C
7742683,2014/09/11 17:20,RedNextCentury,Divisibility,MS C++,100484,A,100484A
7743192,2014/09/11 17:49,RedNextCentury,CowAcrobats,MS C++,100484,L,100484L
7753170,2014/09/12 19:32,RedNextCentury,CheapTravel,MS C++,466,A,466A
7827254,2014/09/18 19:31,RedNextCentury,GeorgeandAccommodation,MS C++,467,A,467A
7834740,2014/09/18 20:07,RedNextCentury,FedorandNewGame,MS C++,467,B,467B
7854068,2014/09/19 18:01,RedNextCentury,TextEncryption,MS C++,100486,C,100486C
7856032,2014/09/19 20:03,RedNextCentury,Whoiswho'sboss?,MS C++,100486,K,100486K
7912388,2014/09/22 20:27,RedNextCentury,Numbersrebmun,MS C++,100004,D,100004D
7946790,2014/09/25 17:31,RedNextCentury,EventPlanning,MS C++,100494,E,100494E
7947572,2014/09/25 18:21,RedNextCentury,GettingGold,MS C++,100494,G,100494G
7958815,2014/09/26 19:37,RedNextCentury,MUHandSticks,MS C++,471,A,471A
7962113,2014/09/26 19:52,RedNextCentury,MUHandImportantThings,MS C++,471,B,471B
7996732,2014/09/28 19:39,RedNextCentury,DesignTutorial:LearnfromMath,MS C++,472,A,472A
8002332,2014/09/28 20:00,RedNextCentury,DesignTutorial:MakeItNondeterministic,MS C++,472,C,472C
8008154,2014/09/28 20:47,RedNextCentury,DesignTutorial:LearnfromLife,GNU C++,472,B,472B
8060455,2014/10/02 19:41,RedNextCentury,Pascal,GNU C++,100497,H,100497H
8060718,2014/10/02 19:58,RedNextCentury,DanceFloor,GNU C++,100497,A,100497A
8086204,2014/10/05 17:12,RedNextCentury,BayanBus,GNU C++,475,A,475A
8088720,2014/10/05 17:31,RedNextCentury,StronglyConnectedCity,GNU C++,475,B,475B
8110085,2014/10/06 19:45,RedNextCentury,Flowers,GNU C++,474,D,474D
8111638,2014/10/06 19:54,RedNextCentury,Keyboard,GNU C++,474,A,474A
8112606,2014/10/06 20:01,RedNextCentury,Worms,GNU C++,474,B,474B
8257066,2014/10/16 20:04,RedNextCentury,InitialBet,GNU C++,478,A,478A
8258507,2014/10/16 20:11,RedNextCentury,RandomTeams,GNU C++,478,B,478B
8286563,2014/10/17 23:26,RedNextCentury,Averagedistance,GNU C++,100506,A,100506A
8382448,2014/10/24 21:18,RedNextCentury,DiversePermutation,GNU C++,482,A,482A
8385861,2014/10/24 21:47,RedNextCentury,InterestingArray,GNU C++,482,B,482B
8468154,2014/10/29 14:15,RedNextCentury,ChoosingBalls,GNU C++,264,C,264C
8485945,2014/10/30 16:27,RedNextCentury,WillItStop?,GNU C++,100523,C,100523C
8596432,2014/11/07 00:12,RedNextCentury,Bits,GNU C++,484,A,484A
8686281,2014/11/13 19:16,RedNextCentury,JavavsC++,GNU C++,100532,J,100532J
8687321,2014/11/13 20:46,RedNextCentury,Kickdown,GNU C++,100532,K,100532K
8687516,2014/11/13 21:07,RedNextCentury,Graveyard,GNU C++,100532,G,100532G
8704679,2014/11/15 18:44,RedNextCentury,CatsTransport,GNU C++,311,B,311B
8720969,2014/11/17 18:49,RedNextCentury,BerSUBall,GNU C++,489,B,489B
8739360,2014/11/17 23:54,RedNextCentury,GivenLengthandSumofDigits...,GNU C++,489,C,489C
8739379,2014/11/17 23:57,RedNextCentury,SwapSort,GNU C++,489,A,489A
8765259,2014/11/20 17:11,RedNextCentury,AbnormalCoins,GNU C++,100534,A,100534A
8765453,2014/11/20 17:26,RedNextCentury,CoinGame,GNU C++,100534,G,100534G
8765817,2014/11/20 17:55,RedNextCentury,FakeCoins,GNU C++,100534,B,100534B
8806437,2014/11/22 23:01,RedNextCentury,FighttheMonster,GNU C++,487,A,487A
8838599,2014/11/24 19:58,RedNextCentury,Heroes,GNU C++,77,A,77A
8849037,2014/11/25 20:27,RedNextCentury,MagicalArray,GNU C++,83,A,83A
8864131,2014/11/26 23:22,RedNextCentury,Doctor,GNU C++,83,B,83B
8874332,2014/11/28 00:31,RedNextCentury,Trains,GNU C++,87,A,87A
8900841,2014/11/30 23:43,RedNextCentury,Robbery,GNU C++,89,A,89A
8907415,2014/12/01 19:36,RedNextCentury,VanyaandCubes,GNU C++,492,A,492A
8922213,2014/12/01 21:29,RedNextCentury,VanyaandComputerGame,GNU C++,492,D,492D
8923134,2014/12/01 22:13,RedNextCentury,VanyaandLanterns,GNU C++,492,B,492B
8923502,2014/12/01 22:23,RedNextCentury,VanyaandExams,GNU C++,492,C,492C
8933945,2014/12/02 18:35,RedNextCentury,NewspaperHeadline,GNU C++,91,A,91A
8937065,2014/12/02 19:01,RedNextCentury,Queue,GNU C++,91,B,91B
8966931,2014/12/03 19:32,RedNextCentury,DevuandPartitioningoftheArray,GNU C++,439,C,439C
8986574,2014/12/05 02:24,RedNextCentury,EndofExams,GNU C++,93,B,93B
9002737,2014/12/06 19:21,RedNextCentury,Frames,GNU C++,93,A,93A
9021137,2014/12/08 21:18,RedNextCentury,LuckyNumbers,GNU C++,95,B,95B
9021858,2014/12/08 23:07,RedNextCentury,Hockey,GNU C++,95,A,95A
9076286,2014/12/10 23:53,RedNextCentury,Cthulhu,GNU C++,103,B,103B
9099121,2014/12/13 10:45,RedNextCentury,Buses,GNU C++,101,B,101B
9134277,2014/12/14 22:13,RedNextCentury,DormWaterSupply,GNU C++,107,A,107A
9134451,2014/12/14 22:36,RedNextCentury,LuckySumofDigits,GNU C++,109,A,109A
9143492,2014/12/15 18:17,RedNextCentury,BasketballTeam,GNU C++,107,B,107B
9155647,2014/12/16 22:37,RedNextCentury,PetyaandInequiations,GNU C++,111,A,111A
9170442,2014/12/17 20:24,RedNextCentury,TennisGame,GNU C++,497,B,497B
9198430,2014/12/19 18:37,RedNextCentury,Party,GNU C++,115,A,115A
9198651,2014/12/19 18:57,RedNextCentury,RoadConstruction,GNU C++,330,B,330B
9199400,2014/12/19 19:59,RedNextCentury,IceSkating,GNU C++,217,A,217A
9199649,2014/12/19 20:17,RedNextCentury,NetworkTopology,GNU C++,292,B,292B
9202004,2014/12/20 01:08,RedNextCentury,StudentsandShoelaces,GNU C++,129,B,129B
9202105,2014/12/20 01:29,RedNextCentury,ValeraandElections,GNU C++,369,C,369C
9202232,2014/12/20 01:54,RedNextCentury,PingPong(EasyVersion),GNU C++,320,B,320B
9227103,2014/12/22 21:48,RedNextCentury,ColorfulGraph,GNU C++,246,D,246D
9261953,2014/12/25 01:31,RedNextCentury,RoadsinBerland,GNU C++,25,C,25C
9307360,2014/12/30 18:07,RedNextCentury,NewYearTransportation,GNU C++,500,A,500A
9311157,2014/12/30 18:20,RedNextCentury,NewYearPermutation,GNU C++,500,B,500B
9317795,2014/12/30 19:06,RedNextCentury,NewYearBookReading,GNU C++,500,C,500C
9334554,2014/12/31 20:05,RedNextCentury,Petr#,GNU C++0x,113,B,113B
9349339,2015/01/03 02:42,RedNextCentury,Lawnmower,GNU C++0x,115,B,115B
9356047,2015/01/04 00:13,RedNextCentury,LuckySum,GNU C++0x,121,A,121A
9379336,2015/01/07 16:33,RedNextCentury,HotBath,GNU C++0x,126,A,126A
9485120,2015/01/20 17:05,RedNextCentury,UnbearableControversyofBeing,GNU C++0x,489,D,489D
9491528,2015/01/21 13:56,RedNextCentury,Checkposts,GNU C++0x,427,C,427C
9501733,2015/01/22 15:02,RedNextCentury,Mr.Kitayuta'sColorfulGraph,GNU C++0x,505,B,505B
9515396,2015/01/23 19:05,RedNextCentury,AmrandMusic,GNU C++0x,507,A,507A
9521237,2015/01/23 19:39,RedNextCentury,GuessYourWayOut!,GNU C++0x,507,C,507C
9523354,2015/01/23 19:56,RedNextCentury,AmrandPins,GNU C++0x,507,B,507B
9538921,2015/01/24 17:05,RedNextCentury,RestoreGraph,GNU C++0x,404,C,404C
9592432,2015/01/27 22:21,RedNextCentury,PashaandPixels,GNU C++0x,508,A,508A
9592616,2015/01/27 22:27,RedNextCentury,Antonandcurrencyyouallknow,GNU C++0x,508,B,508B
9640528,2015/01/31 15:02,RedNextCentury,MaximuminTable,GNU C++0x,509,A,509A
9645230,2015/01/31 15:35,RedNextCentury,PaintingPebbles,GNU C++0x,509,B,509B
9691931,2015/02/02 23:29,RedNextCentury,FoxAndNames,GNU C++0x,512,A,512A
9750583,2015/02/07 20:24,RedNextCentury,Permutations,GNU C++0x,513,B1,513B1
9751846,2015/02/07 20:37,RedNextCentury,Game,GNU C++0x,513,A,513A
9759661,2015/02/07 21:58,RedNextCentury,Permutations,GNU C++0x,513,B2,513B2
9763054,2015/02/07 22:47,RedNextCentury,Inversionsproblem,GNU C++0x,513,G1,513G1
9780735,2015/02/09 17:23,RedNextCentury,Statues,GNU C++0x,128,A,128A
9783797,2015/02/09 23:26,RedNextCentury,Replacement,GNU C++0x,135,A,135A
9802804,2015/02/11 23:50,RedNextCentury,DigitsPermutations,GNU C++0x,138,B,138B
9963160,2015/02/22 23:30,RedNextCentury,CubicalPlanet,GNU C++0x,39,D,39D
9985230,2015/02/24 19:44,RedNextCentury,TanyaandPostcard,GNU C++0x,518,B,518B
9989473,2015/02/24 20:04,RedNextCentury,VitalyandStrings,GNU C++0x,518,A,518A
9996277,2015/02/24 20:42,RedNextCentury,AnyaandSmartphone,GNU C++0x,518,C,518C
10025640,2015/02/26 00:14,RedNextCentury,ArthurandQuestions,GNU C++0x,518,E,518E
10047388,2015/02/27 15:08,RedNextCentury,Lemmings,GNU C++0x,163,B,163B
10070591,2015/02/28 16:30,RedNextCentury,AandBandCompilationErrors,GNU C++0x,519,B,519B
10071334,2015/02/28 16:34,RedNextCentury,AandBandTeamTraining,GNU C++0x,519,C,519C
10075080,2015/02/28 16:57,RedNextCentury,AandBandInterestingSubstrings,GNU C++0x,519,D,519D
10076449,2015/02/28 17:07,RedNextCentury,AandBandChess,GNU C++0x,519,A,519A
10100535,2015/03/01 22:34,RedNextCentury,Segments,GNU C++0x,22,D,22D
10170062,2015/03/05 23:09,RedNextCentury,LittleElephantandCards,GNU C++0x,204,B,204B
10248052,2015/03/12 16:56,RedNextCentury,FoolsandRoads,GNU C++0x,191,C,191C
10316366,2015/03/17 20:11,RedNextCentury,GlassCarving,GNU C++0x,528,A,528A
10385409,2015/03/21 20:18,RedNextCentury,TheArtofDealingwithATM,GNU C++,529,E,529E
10386538,2015/03/21 21:08,RedNextCentury,GroupPhoto2(onlinemirrorversion),GNU C++,529,B,529B
10413895,2015/03/23 22:34,RedNextCentury,Xortree,GNU C++,429,A,429A
10426874,2015/03/24 23:20,RedNextCentury,PashmakandGraph,GNU C++,459,E,459E
10479542,2015/03/27 00:53,RedNextCentury,FoxandMinimalpath,GNU C++,388,B,388B
10534689,2015/03/31 18:45,RedNextCentury,DesignTutorial:InversetheProblem,GNU C++,472,D,472D
10580002,2015/04/04 20:06,RedNextCentury,OmNomandDarkPark,GNU C++,526,B,526B
10590500,2015/04/04 21:45,RedNextCentury,KingofThieves,GNU C++,526,A,526A
10669664,2015/04/12 19:07,RedNextCentury,Exam,GNU C++,534,A,534A
10671515,2015/04/12 19:15,RedNextCentury,CoveredPath,GNU C++,534,B,534B
10684111,2015/04/12 21:20,RedNextCentury,Polycarpus'Dice,GNU C++,534,C,534C
10715946,2015/04/14 20:44,RedNextCentury,TavasandKarafs,GNU C++,536,A,536A
10719547,2015/04/14 21:26,RedNextCentury,TavasandMalekas,GNU C++,536,B,536B
10875160,2015/04/26 19:05,RedNextCentury,CuttingBanner,GNU C++,538,A,538A
10876707,2015/04/26 19:10,RedNextCentury,QuasiBinary,GNU C++,538,B,538B
10885296,2015/04/26 19:54,RedNextCentury,WeirdChess,GNU C++,538,D,538D
10923289,2015/04/28 23:06,RedNextCentury,PolothePenguinandTrees,GNU C++,288,D,288D
10923299,2015/04/28 23:07,RedNextCentury,Tourist'sNotes,GNU C++,538,C,538C
10972859,2015/05/02 12:50,RedNextCentury,LuckyNumberRepresentation,GNU C++,354,E,354E
11010706,2015/05/06 10:09,RedNextCentury,TreelandTour,GNU C++11,490,F,490F
11034344,2015/05/07 22:03,RedNextCentury,DestroyingRoads,GNU C++11,543,B,543B
11124540,2015/05/17 12:22,RedNextCentury,FoolsandFoolproofRoads,GNU C++11,362,D,362D
11353425,2015/05/30 09:36,RedNextCentury,Dijkstra?,GNU C++11,20,C,20C
11418878,2015/06/04 19:42,RedNextCentury,TwoSubstrings,GNU C++11,550,A,550A
11420870,2015/06/04 19:51,RedNextCentury,PreparingOlympiad,GNU C++11,550,B,550B
11425146,2015/06/04 20:18,RedNextCentury,DivisibilitybyEight,GNU C++11,550,C,550C
11428236,2015/06/04 20:44,RedNextCentury,RegularBridge,GNU C++11,550,D,550D
11683212,2015/06/20 17:39,RedNextCentury,TheRace,GNU C++11,48,C,48C
