#,When,Who,Problem_name,Lang,Number,Character
136478946,Nov/22/2021 14:52,043_33798_Nuraiym-7,The number of positions,GNU C++17,124,A
136793246,Nov/25/2021 07:59,043_33798_Nuraiym-7,Beautiful Year,GNU C++17,271,A
136793313,Nov/25/2021 08:00,043_33798_Nuraiym-7,Vanya and Fence,GNU C++17,677,A
136793345,Nov/25/2021 08:00,043_33798_Nuraiym-7,Presents,GNU C++17,136,A
136796913,Nov/25/2021 09:04,043_33798_Nuraiym-7,Hulk,GNU C++17,705,A
136797160,Nov/25/2021 09:07,043_33798_Nuraiym-7,Calculating Function,GNU C++17,486,A
136808763,Nov/25/2021 10:37,043_33798_Nuraiym-7,Drinks,GNU C++17,200,B
136905908,Nov/25/2021 19:08,043_33798_Nuraiym-7,Balanced Array,GNU C++17,1343,B
136911400,Nov/25/2021 19:19,043_33798_Nuraiym-7,In Search of an Easy Problem,GNU C++17,1030,A
138848719,Dec/12/2021 13:48,043_33798_Nuraiym-7,Raising Bacteria,GNU C++17,579,A
138866497,Dec/12/2021 17:38,043_33798_Nuraiym-7,Registration System,GNU C++17,4,C
139714527,Dec/18/2021 10:30,043_33798_Nuraiym-7,DZY Loves Sequences,GNU C++14,446,A
139723058,Dec/18/2021 12:17,043_33798_Nuraiym-7,Casimir's String Solitaire,GNU C++14,1579,A
139820538,Dec/18/2021 20:36,043_33798_Nuraiym-7,Equal or Not Equal,GNU C++14,1620,A
139821194,Dec/18/2021 20:38,043_33798_Nuraiym-7,Replace the Numbers,GNU C++14,1620,E
140093838,Dec/20/2021 19:57,043_33798_Nuraiym-7,Square String?,GNU C++14,1619,A
140126508,Dec/21/2021 07:36,043_33798_Nuraiym-7,Square String?,GNU C++14,1619,A
140701402,Dec/27/2021 05:28,043_33798_Nuraiym-7,I Wanna Be the Guy,GNU C++17,469,A
140704443,Dec/27/2021 05:34,043_33798_Nuraiym-7,Insomnia cure,GNU C++17,148,A
141316146,Jan/01/2022 16:08,043_33798_Nuraiym-7,Again Twenty Five!,GNU C++17,630,A
141375017,Jan/02/2022 10:45,043_33798_Nuraiym-7,Divisibility Problem,GNU C++17,1328,A
141381375,Jan/02/2022 12:09,043_33798_Nuraiym-7,Hit the Lottery,GNU C++17,996,A
141393661,Jan/02/2022 14:44,043_33798_Nuraiym-7,Squares and Cubes,GNU C++17,1619,B
141707057,Jan/05/2022 10:29,043_33798_Nuraiym-7,Replacing Elements,GNU C++17,1473,A
141708485,Jan/05/2022 10:48,043_33798_Nuraiym-7,Super Agent,GNU C++17,12,A
141710247,Jan/05/2022 11:11,043_33798_Nuraiym-7,Stone Game,GNU C++17,1538,A
143586436,Jan/22/2022 10:21,043_33798_Nuraiym-7,Sum of Round Numbers,GNU C++17,1352,A
144643891,Jan/31/2022 14:49,043_33798_Nuraiym-7,Arrival of the General,GNU C++17,144,A
144644015,Jan/31/2022 14:50,043_33798_Nuraiym-7,Anton and Letters,GNU C++17,443,A
144645207,Jan/31/2022 15:07,043_33798_Nuraiym-7,Games,GNU C++17,268,A
144812610,Feb/01/2022 11:15,043_33798_Nuraiym-7,Pangram,GNU C++17,520,A
144937645,Feb/02/2022 15:40,043_33798_Nuraiym-7,New Year and Hurry,GNU C++17,750,A
145193791,Feb/05/2022 09:53,043_33798_Nuraiym-7,Add Odd or Subtract Even,GNU C++17,1311,A
145197610,Feb/05/2022 10:45,043_33798_Nuraiym-7,Perform the Combo,GNU C++17,1311,C
145747756,Feb/09/2022 15:15,043_33798_Nuraiym-7,And Then There Were K,GNU C++17,1527,A
145750669,Feb/09/2022 15:43,043_33798_Nuraiym-7,Amusing Joke,GNU C++17,141,A
147940508,Feb/28/2022 15:18,043_33798_Nuraiym-7,Candies and Two Sisters,GNU C++17,1335,A
147943015,Feb/28/2022 15:46,043_33798_Nuraiym-7,Buy a Shovel,GNU C++17,732,A
154624532,Apr/23/2022 09:34,043_33798_Nuraiym-7,Division?,GNU C++17,1669,A
155118659,Apr/27/2022 15:17,043_33798_Nuraiym-7,Soldier and Bananas,GNU C++17,546,A
155118775,Apr/27/2022 15:19,043_33798_Nuraiym-7,Anton and Polyhedrons,GNU C++17,785,A
168356418,Aug/15/2022 12:00,043_33798_Nuraiym-7,Vasya the Hipster,GNU C++17,581,A
168356521,Aug/15/2022 12:01,043_33798_Nuraiym-7,Fox And Snake,GNU C++17,510,A
168356898,Aug/15/2022 12:04,043_33798_Nuraiym-7,Remove Smallest,GNU C++17,1399,A
169398273,Aug/23/2022 11:52,043_33798_Nuraiym-7,Spy Detected!,GNU C++17,1512,A
169499128,Aug/24/2022 12:26,043_33798_Nuraiym-7,Stones on the Table,GNU C++17,266,A
169575931,Aug/25/2022 08:52,043_33798_Nuraiym-7,Gregor and the Pawn Game,GNU C++17,1549,B
169576805,Aug/25/2022 09:07,043_33798_Nuraiym-7,Gregor and Cryptography,GNU C++17,1549,A
169576951,Aug/25/2022 09:09,043_33798_Nuraiym-7,Interesting Sum,GNU C++17,1720,B
169577089,Aug/25/2022 09:11,043_33798_Nuraiym-7,Permutation,GNU C++17,137,B
169577611,Aug/25/2022 09:20,043_33798_Nuraiym-7,Spy Detected!,GNU C++17,1512,A
169578894,Aug/25/2022 09:37,043_33798_Nuraiym-7,Love Triangle,GNU C++17,939,A
169582209,Aug/25/2022 10:25,043_33798_Nuraiym-7,Police Recruits,GNU C++17,427,A
169583351,Aug/25/2022 10:39,043_33798_Nuraiym-7,Mathematical Circus,GNU C++17,1719,B
169583471,Aug/25/2022 10:41,043_33798_Nuraiym-7,Candies,GNU C++17,306,A
169600561,Aug/25/2022 14:14,043_33798_Nuraiym-7,Triple,GNU C++17,1669,B
169678154,Aug/26/2022 11:05,043_33798_Nuraiym-7,A+B (Trial Problem),GNU C++17,1351,A
172826402,Sep/20/2022 15:18,043_33798_Nuraiym-7,Restoring Three Numbers,GNU C++17,1154,A
172830786,Sep/20/2022 15:53,043_33798_Nuraiym-7,Drinks Choosing,GNU C++17,1195,A
172830907,Sep/20/2022 15:53,043_33798_Nuraiym-7,Yet Another Two Integers Problem,GNU C++17,1409,A
172902580,Sep/21/2022 08:16,043_33798_Nuraiym-7,The New Year: Meeting Friends,GNU C++17,723,A
173126090,Sep/23/2022 05:27,043_33798_Nuraiym-7,Design Tutorial: Learn from Math,GNU C++17,472,A
173126220,Sep/23/2022 05:30,043_33798_Nuraiym-7,Soft Drinking,GNU C++17,151,A
173126304,Sep/23/2022 05:32,043_33798_Nuraiym-7,Short Substrings,GNU C++17,1367,A
173126371,Sep/23/2022 05:34,043_33798_Nuraiym-7,Reverse a Substring,GNU C++17,1155,A
173161651,Sep/23/2022 14:29,043_33798_Nuraiym-7,Choosing Teams,GNU C++17,432,A
173163289,Sep/23/2022 14:48,043_33798_Nuraiym-7,Average Height,GNU C++17,1509,A
173183790,Sep/23/2022 15:33,043_33798_Nuraiym-7,Salem and Sticks,GNU C++17,1105,A
173215143,Sep/23/2022 16:47,043_33798_Nuraiym-7,Team Olympiad,GNU C++17,490,A
173223594,Sep/23/2022 17:18,043_33798_Nuraiym-7,Valera and Contest,GNU C++17,369,B
173274179,Sep/24/2022 08:41,043_33798_Nuraiym-7,Holiday Of Equality,GNU C++17,758,A
173280546,Sep/24/2022 09:39,043_33798_Nuraiym-7,Fair Division,GNU C++17,1472,B
173281061,Sep/24/2022 09:43,043_33798_Nuraiym-7,Perfect Permutation,GNU C++17,233,A
173553156,Sep/26/2022 11:14,043_33798_Nuraiym-7,Eugeny and Array,GNU C++17,302,A
173555179,Sep/26/2022 11:39,043_33798_Nuraiym-7,Tanya and Stairways,GNU C++17,1005,A
173556255,Sep/26/2022 11:51,043_33798_Nuraiym-7,Game with Chips,GNU C++17,1327,C
173575488,Sep/26/2022 15:19,043_33798_Nuraiym-7,Planets,GNU C++17,1730,A
173575644,Sep/26/2022 15:21,043_33798_Nuraiym-7,Meeting on the Line,GNU C++17,1730,B
173575756,Sep/26/2022 15:22,043_33798_Nuraiym-7,Dislike of Threes,GNU C++17,1560,A
173575800,Sep/26/2022 15:22,043_33798_Nuraiym-7,Who's Opposite?,GNU C++17,1560,B
173576679,Sep/26/2022 15:30,043_33798_Nuraiym-7,Select Three Sticks,GNU C++17,1734,A
173578791,Sep/26/2022 15:48,043_33798_Nuraiym-7,Madoka and Strange Thoughts,GNU C++17,1717,A
173578968,Sep/26/2022 15:49,043_33798_Nuraiym-7,2 3 Moves,GNU C++17,1716,A
174035957,Sep/30/2022 05:53,043_33798_Nuraiym-7,Burenka Plays with Fractions,GNU C++17,1720,A
174267768,Oct/01/2022 18:20,043_33798_Nuraiym-7,Image,GNU C++17,1721,A
174270169,Oct/01/2022 18:42,043_33798_Nuraiym-7,Spell Check,GNU C++17,1722,A
174270263,Oct/01/2022 18:43,043_33798_Nuraiym-7,Colourblindness,GNU C++17,1722,B
174271754,Oct/01/2022 18:58,043_33798_Nuraiym-7,Word Game,GNU C++17,1722,C
174739701,Oct/05/2022 15:23,043_33798_Nuraiym-7,Working Week,GNU C++17,1735,A
175076086,Oct/08/2022 08:47,043_33798_Nuraiym-7,Rule of League,GNU C++17,1733,B
175076131,Oct/08/2022 08:48,043_33798_Nuraiym-7,Consecutive Sum,GNU C++17,1733,A
175076594,Oct/08/2022 08:53,043_33798_Nuraiym-7,Decode String,GNU C++17,1729,B
175076718,Oct/08/2022 08:55,043_33798_Nuraiym-7,Tea with Tangerines,GNU C++17,1735,B
175076765,Oct/08/2022 08:55,043_33798_Nuraiym-7,Glory Addicts,GNU C++17,1738,A
175076842,Oct/08/2022 08:56,043_33798_Nuraiym-7,Puzzles,GNU C++17,337,A
175824069,Oct/13/2022 05:44,043_33798_Nuraiym-7,Maximum GCD,GNU C++17,1370,A
175826775,Oct/13/2022 06:20,043_33798_Nuraiym-7,Even Array,GNU C++17,1367,B
175826808,Oct/13/2022 06:21,043_33798_Nuraiym-7,Two Arrays And Swaps,GNU C++17,1353,B
175826825,Oct/13/2022 06:21,043_33798_Nuraiym-7,Do Not Be Distracted!,GNU C++17,1520,A
175826850,Oct/13/2022 06:22,043_33798_Nuraiym-7,Minimal Square,GNU C++17,1360,A
175826865,Oct/13/2022 06:22,043_33798_Nuraiym-7,Honest Coach,GNU C++17,1360,B
176260335,Oct/15/2022 11:06,043_33798_Nuraiym-7,Increasing,GNU C++17,1742,B
176260950,Oct/15/2022 11:10,043_33798_Nuraiym-7,Maximum in Table,GNU C++17,509,A
176261107,Oct/15/2022 11:11,043_33798_Nuraiym-7,Compare T Shirt Sizes,GNU C++17,1741,A
176783612,Oct/17/2022 20:01,043_33798_Nuraiym-7,Maxmina,GNU C++17,1746,A
176889312,Oct/18/2022 16:53,043_33798_Nuraiym-7,Rebellion,GNU C++17,1746,B
176889584,Oct/18/2022 16:55,043_33798_Nuraiym-7,Sum,GNU C++17,1742,A
177043429,Oct/19/2022 20:41,043_33798_Nuraiym-7,Anti Fibonacci Permutation,GNU C++17,1644,B
177043451,Oct/19/2022 20:42,043_33798_Nuraiym-7,Deletions of Two Adjacent Letters,GNU C++17,1650,A
177222980,Oct/20/2022 20:58,043_33798_Nuraiym-7,Make A Equal to B,GNU C++17,1736,A
177303658,Oct/21/2022 15:22,043_33798_Nuraiym-7,Boring Apartments,GNU C++17,1433,A
177353764,Oct/21/2022 21:02,043_33798_Nuraiym-7,Password,GNU C++17,1743,A
177939612,Oct/26/2022 05:35,043_33798_Nuraiym-7,Cowardly Rooks,GNU C++17,1749,A
178239390,Oct/28/2022 17:56,043_33798_Nuraiym-7,Sereja and Dima,GNU C++17,381,A
178239449,Oct/28/2022 17:56,043_33798_Nuraiym-7,Sereja and Dima,GNU C++17,381,A
178911030,Nov/02/2022 06:59,043_33798_Nuraiym-7,Vasya and Coins,GNU C++17,1660,A
178924934,Nov/02/2022 10:58,043_33798_Nuraiym-7,Poisoned Dagger,GNU C++17,1613,C
178972569,Nov/02/2022 18:50,043_33798_Nuraiym-7,Two Teams Composing,GNU C++17,1335,C
179348961,Nov/05/2022 07:54,043_33798_Nuraiym-7,Mocha and Math,GNU C++17,1559,A
179349343,Nov/05/2022 08:00,043_33798_Nuraiym-7,Mocha and Math,GNU C++17,1559,A
179943888,Nov/07/2022 11:41,043_33798_Nuraiym-7,Playing with GCD,GNU C++17,1736,B
179944063,Nov/07/2022 11:43,043_33798_Nuraiym-7,Integer Diversity,GNU C++17,1616,A
179944145,Nov/07/2022 11:44,043_33798_Nuraiym-7,Exact Change,GNU C++17,1620,D
180181200,Nov/09/2022 13:12,043_33798_Nuraiym-7,Kevin and Permutation,GNU C++17,1754,B
180183845,Nov/09/2022 13:41,043_33798_Nuraiym-7,Equalize Prices Again,GNU C++17,1234,A
180186358,Nov/09/2022 14:07,043_33798_Nuraiym-7,Technical Support,GNU C++17,1754,A
180188057,Nov/09/2022 14:22,043_33798_Nuraiym-7,Two Groups,GNU C++17,1747,A
180202485,Nov/09/2022 16:22,043_33798_Nuraiym-7,Factorise N+M,GNU C++17,1740,A
180202610,Nov/09/2022 16:23,043_33798_Nuraiym-7,Jumbo Extra Cheese 2,GNU C++17,1740,B
180217562,Nov/09/2022 18:39,043_33798_Nuraiym-7,Death's Blessing,GNU C++17,1749,B
180413504,Nov/11/2022 05:55,043_33798_Nuraiym-7,BAN BAN,GNU C++17,1747,B
180413750,Nov/11/2022 06:00,043_33798_Nuraiym-7,Funny Permutation,GNU C++17,1741,B
180625764,Nov/12/2022 17:55,043_33798_Nuraiym-7,Spell Check,GNU C++17,1722,A
180644503,Nov/12/2022 18:53,043_33798_Nuraiym-7,Perfect Squares,GNU C++17,914,A
180644828,Nov/12/2022 18:54,043_33798_Nuraiym-7,Conan and Agasa play a Card Game,GNU C++17,914,B
180650345,Nov/12/2022 19:13,043_33798_Nuraiym-7,Traffic Light,GNU C++17,1744,C
180654651,Nov/12/2022 19:29,043_33798_Nuraiym-7,Number Replacement,GNU C++17,1744,A
180657782,Nov/12/2022 19:50,043_33798_Nuraiym-7,The Ultimate Square,GNU C++17,1748,A
180720462,Nov/13/2022 10:49,043_33798_Nuraiym-7,Indirect Sort,GNU C++17,1750,A
180720494,Nov/13/2022 10:49,043_33798_Nuraiym-7,Maximum Substring,GNU C++17,1750,B
180745050,Nov/13/2022 15:20,043_33798_Nuraiym-7,Odd/Even Increments,GNU C++17,1669,C
180928718,Nov/14/2022 08:39,043_33798_Nuraiym-7,Required Remainder,GNU C++17,1374,A
180928901,Nov/14/2022 08:42,043_33798_Nuraiym-7,"Multiply by 2, divide by 6",GNU C++17,1374,B
180929050,Nov/14/2022 08:45,043_33798_Nuraiym-7,YES or YES?,GNU C++17,1703,A
180929130,Nov/14/2022 08:46,043_33798_Nuraiym-7,ICPC Balloons,GNU C++17,1703,B
180929154,Nov/14/2022 08:47,043_33798_Nuraiym-7,Cypher,GNU C++17,1703,C
180929209,Nov/14/2022 08:48,043_33798_Nuraiym-7,Fair Playoff,GNU C++17,1535,A
181035438,Nov/15/2022 06:31,043_33798_Nuraiym-7,Candies and Two Sisters,GNU C++17,1335,A
181090294,Nov/15/2022 15:49,043_33798_Nuraiym-7,Wonderful Coloring   1,GNU C++17,1551,B1
181091796,Nov/15/2022 16:00,043_33798_Nuraiym-7,Plus One on the Subset,GNU C++17,1624,A
181199473,Nov/16/2022 15:30,043_33798_Nuraiym-7,Vanya and Books,GNU C++17,552,B
181200092,Nov/16/2022 15:35,043_33798_Nuraiym-7,Vanya and Scales,GNU C++17,552,C
181200374,Nov/16/2022 15:37,043_33798_Nuraiym-7,Borze,GNU C++17,32,B
181202064,Nov/16/2022 15:52,043_33798_Nuraiym-7,Ordinary Numbers,GNU C++17,1520,B
181203041,Nov/16/2022 16:01,043_33798_Nuraiym-7,Polycarp and Coins,GNU C++17,1551,A
181203534,Nov/16/2022 16:05,043_33798_Nuraiym-7,Vanya and Cubes,GNU C++17,492,A
181203617,Nov/16/2022 16:06,043_33798_Nuraiym-7,Perfect Number,GNU C++17,919,B
181205567,Nov/16/2022 16:23,043_33798_Nuraiym-7,Points in Segments,GNU C++17,1015,A
181205607,Nov/16/2022 16:23,043_33798_Nuraiym-7,Mystic Permutation,GNU C++17,1689,B
181205718,Nov/16/2022 16:24,043_33798_Nuraiym-7,Fafa and his Company,GNU C++17,935,A
181219576,Nov/16/2022 18:31,043_33798_Nuraiym-7,Codehorses T shirts,GNU C++17,1000,A
181258126,Nov/17/2022 05:45,043_33798_Nuraiym-7,GukiZ and Contest,GNU C++17,551,A
181258328,Nov/17/2022 05:48,043_33798_Nuraiym-7,Metro,GNU C++17,1055,A
181258420,Nov/17/2022 05:50,043_33798_Nuraiym-7,Party,GNU C++17,115,A
181258465,Nov/17/2022 05:51,043_33798_Nuraiym-7,PolandBall and Hypothesis,GNU C++17,755,A
181333376,Nov/17/2022 19:08,043_33798_Nuraiym-7,Die Roll,GNU C++17,9,A
181334054,Nov/17/2022 19:13,043_33798_Nuraiym-7,Correct Solution?,GNU C++17,12,B
181523953,Nov/18/2022 20:46,043_33798_Nuraiym-7,Yes Yes?,GNU C++17,1759,A
181856200,Nov/21/2022 11:35,043_33798_Nuraiym-7,Vova and Trophies,GNU C++17,1082,B
181857056,Nov/21/2022 11:45,043_33798_Nuraiym-7,Alex and a Rhombus,GNU C++17,1180,A
181857520,Nov/21/2022 11:50,043_33798_Nuraiym-7,Function Height,GNU C++17,1036,A
181857730,Nov/21/2022 11:52,043_33798_Nuraiym-7,Music,GNU C++17,569,A
181878198,Nov/21/2022 15:17,043_33798_Nuraiym-7,Points in Segments,GNU C++17,1015,A
181879083,Nov/21/2022 15:24,043_33798_Nuraiym-7,Array Shrinking,GNU C++17,1312,E
181881591,Nov/21/2022 15:46,043_33798_Nuraiym-7,Maximum Increase,GNU C++17,702,A
182127445,Nov/22/2022 15:56,043_33798_Nuraiym-7,Medium Number,GNU C++17,1760,A
182128030,Nov/22/2022 16:00,043_33798_Nuraiym-7,Atilla's Favorite Problem,GNU C++17,1760,B
182128090,Nov/22/2022 16:01,043_33798_Nuraiym-7,Gifts Fixing,GNU C++17,1399,B
182128161,Nov/22/2022 16:01,043_33798_Nuraiym-7,Two Permutations,GNU C++17,1761,A
182226860,Nov/23/2022 12:14,043_33798_Nuraiym-7,Medium Number,GNU C++17,1760,A
182272539,Nov/23/2022 19:29,043_33798_Nuraiym-7,Elimination of a Ring,GNU C++17,1761,B
182272621,Nov/23/2022 19:30,043_33798_Nuraiym-7,Fafa and his Company,GNU C++17,935,A
182273474,Nov/23/2022 19:39,043_33798_Nuraiym-7,Atilla's Favorite Problem,GNU C++17,1760,B
182307648,Nov/24/2022 05:54,043_33798_Nuraiym-7,Fafa and the Gates,GNU C++17,935,B
182622724,Nov/26/2022 12:32,043_33798_Nuraiym-7,Determine Line,GNU C++17,1056,A
182758223,Nov/27/2022 12:15,043_33798_Nuraiym-7,Chat Servers Outgoing Traffic,GNU C++17,5,A
182758899,Nov/27/2022 12:23,043_33798_Nuraiym-7,Football,GNU C++17,96,A
182758973,Nov/27/2022 12:24,043_33798_Nuraiym-7,Mike and gcd problem,GNU C++17,798,C
182759025,Nov/27/2022 12:25,043_33798_Nuraiym-7,Doremy's Paint,GNU C++17,1764,A
182760651,Nov/27/2022 12:43,043_33798_Nuraiym-7,Micro World,GNU C++17,990,B
182761330,Nov/27/2022 12:51,043_33798_Nuraiym-7,Cottage Village,GNU C++17,15,A
183029550,Nov/28/2022 17:12,043_33798_Nuraiym-7,Broken Keyboard,GNU C++17,1765,B
183029610,Nov/28/2022 17:12,043_33798_Nuraiym-7,Doremy's Perfect Math Class,GNU C++17,1764,B
183029655,Nov/28/2022 17:13,043_33798_Nuraiym-7,Medium Number,GNU C++17,1760,A
183077192,Nov/29/2022 05:01,043_33798_Nuraiym-7,Prime Problem,GNU C++17,45,G
183382079,Nov/30/2022 19:06,043_33798_Nuraiym-7,Collecting Coins,GNU C++17,1294,A
183388529,Nov/30/2022 20:13,043_33798_Nuraiym-7,Collecting Packages,GNU C++17,1294,B
183388593,Nov/30/2022 20:14,043_33798_Nuraiym-7,Shifting Sort,GNU C++17,1579,B
183388679,Nov/30/2022 20:15,043_33798_Nuraiym-7,Cards for Friends,GNU C++17,1472,A
183690011,Dec/03/2022 10:20,043_33798_Nuraiym-7,Protect Sheep,GNU C++17,948,A
183690253,Dec/03/2022 10:22,043_33798_Nuraiym-7,Bmail Computer Network,GNU C++17,1057,A
183691665,Dec/03/2022 10:34,043_33798_Nuraiym-7,2 Letter Strings,GNU C++17,1669,E
183692789,Dec/03/2022 10:43,043_33798_Nuraiym-7,Colorful Stamp,GNU C++17,1669,D
183692821,Dec/03/2022 10:43,043_33798_Nuraiym-7,Food for Animals,GNU C++17,1675,A
183693173,Dec/03/2022 10:46,043_33798_Nuraiym-7,Vlad and Candies,GNU C++17,1660,B
183693261,Dec/03/2022 10:46,043_33798_Nuraiym-7,String Building,GNU C++17,1671,A
183693382,Dec/03/2022 10:48,043_33798_Nuraiym-7,Make It Increasing,GNU C++17,1675,B
183693688,Dec/03/2022 10:50,043_33798_Nuraiym-7,Zero Sum Prefixes,GNU C++17,1748,C
183693774,Dec/03/2022 10:51,043_33798_Nuraiym-7,Diverse Substrings,GNU C++17,1748,B
183702691,Dec/03/2022 12:06,043_33798_Nuraiym-7,Domino on Windowsill,GNU C++17,1499,A
183702737,Dec/03/2022 12:06,043_33798_Nuraiym-7,Doremy's IQ,GNU C++17,1707,A
183702915,Dec/03/2022 12:08,043_33798_Nuraiym-7,Divide it!,GNU C++17,1176,A
183702994,Dec/03/2022 12:08,043_33798_Nuraiym-7,Median Maximization,GNU C++17,1566,A
183703050,Dec/03/2022 12:09,043_33798_Nuraiym-7,MIN MEX Cut,GNU C++17,1566,B
183703130,Dec/03/2022 12:09,043_33798_Nuraiym-7,Reverse,GNU C++17,1638,A
183703253,Dec/03/2022 12:10,043_33798_Nuraiym-7,Creep,GNU C++17,1694,A
183703412,Dec/03/2022 12:12,043_33798_Nuraiym-7,"Love ""A""",GNU C++17,1146,A
183703430,Dec/03/2022 12:12,043_33798_Nuraiym-7,"Hate ""A""",GNU C++17,1146,B
183966055,Dec/05/2022 11:34,043_33798_Nuraiym-7,Laser,GNU C++17,15,B
183966131,Dec/05/2022 11:35,043_33798_Nuraiym-7,Double Cola,GNU C++17,82,A
183966756,Dec/05/2022 11:43,043_33798_Nuraiym-7,Sets,GNU C++17,82,B
183967213,Dec/05/2022 11:49,043_33798_Nuraiym-7,Message,GNU C++17,156,A
183984212,Dec/05/2022 15:06,043_33798_Nuraiym-7,Image,GNU C++17,1721,A
184125107,Dec/06/2022 19:58,043_33798_Nuraiym-7,Triangle,GNU C++17,18,A
184125193,Dec/06/2022 19:59,043_33798_Nuraiym-7,World Football Cup,GNU C++17,19,A
184125215,Dec/06/2022 20:00,043_33798_Nuraiym-7,Turing Tape,GNU C++17,132,A
184125271,Dec/06/2022 20:00,043_33798_Nuraiym-7,Trading Business,GNU C++17,176,A
184125308,Dec/06/2022 20:01,043_33798_Nuraiym-7,About Bacteria,GNU C++17,198,A
184125330,Dec/06/2022 20:01,043_33798_Nuraiym-7,Jumping on Walls,GNU C++17,198,B
184125373,Dec/06/2022 20:01,043_33798_Nuraiym-7,Power Consumption Calculation,GNU C++17,10,A
184342783,Dec/08/2022 17:35,043_33798_Nuraiym-7,Towers,GNU C++17,37,A
184352482,Dec/08/2022 18:59,043_33798_Nuraiym-7,Least Cost Bracket Sequence,GNU C++17,3,D
184352535,Dec/08/2022 18:59,043_33798_Nuraiym-7,Shortest path of the king,GNU C++17,3,A
184352593,Dec/08/2022 18:59,043_33798_Nuraiym-7,Haiku,GNU C++17,78,A
184352627,Dec/08/2022 19:00,043_33798_Nuraiym-7,Easter Eggs,GNU C++17,78,B
184352677,Dec/08/2022 19:00,043_33798_Nuraiym-7,Train and Peter,GNU C++17,8,A
184352713,Dec/08/2022 19:00,043_33798_Nuraiym-7,Obsession with Robots,GNU C++17,8,B
184358478,Dec/08/2022 19:49,043_33798_Nuraiym-7,Irrational problem,GNU C++17,68,A
184863910,Dec/12/2022 11:09,043_33798_Nuraiym-7,Bar,GNU C++17,56,A
184864046,Dec/12/2022 11:10,043_33798_Nuraiym-7,Amusing Joke,GNU C++17,141,A
184864162,Dec/12/2022 11:11,043_33798_Nuraiym-7,Hossam and Combinatorics,GNU C++17,1771,A
184864224,Dec/12/2022 11:12,043_33798_Nuraiym-7,Efim and Strange Grade,GNU C++17,718,A
184866013,Dec/12/2022 11:29,043_33798_Nuraiym-7,Numbers,GNU C++17,13,A
184866048,Dec/12/2022 11:29,043_33798_Nuraiym-7,Trip For Meal,GNU C++17,876,A
184870316,Dec/12/2022 12:07,043_33798_Nuraiym-7,Rock Paper Scissors,GNU C++17,173,A
184872453,Dec/12/2022 12:25,043_33798_Nuraiym-7,The Elder Trolls IV: Oblivon,GNU C++17,73,A
184872683,Dec/12/2022 12:27,043_33798_Nuraiym-7,Theatre Square,GNU C++17,1,A
184902533,Dec/12/2022 17:02,043_33798_Nuraiym-7,You're Given a String...,GNU C++17,23,A
184902619,Dec/12/2022 17:03,043_33798_Nuraiym-7,SSeeeeiinngg DDoouubbllee,GNU C++17,1758,A
184905148,Dec/12/2022 17:24,043_33798_Nuraiym-7,Magical Sticks,GNU C++17,1371,A
