#,When,Who,Problem_name,Lang,Number,Character
158565158,May/26/2022 23:34,099450735z,Way Too Long Words,GNU C++17 (64),71,A
167405852,Aug/07/2022 17:18,099450735z,Word,GNU C++17,59,A
167406347,Aug/07/2022 17:23,099450735z,Word,GNU C++17 (64),59,A
170376429,Aug/31/2022 14:15,099450735z,Bit++,GNU C++17 (64),282,A
170386680,Aug/31/2022 15:49,099450735z,Next Round,GNU C++17 (64),158,A
170509855,Sep/01/2022 20:18,099450735z,Beautiful Matrix,GNU C++17 (64),263,A
170515750,Sep/01/2022 21:26,099450735z,Petya and Strings,GNU C++17 (64),112,A
170977743,Sep/05/2022 20:24,099450735z,Lucky?,GNU C++17 (64),1676,A
170977835,Sep/05/2022 20:24,099450735z,Lucky?,GNU C++17 (64),1676,A
171056774,Sep/06/2022 16:23,099450735z,Word Capitalization,GNU C++17 (64),281,A
171158679,Sep/06/2022 21:15,099450735z,Boy or Girl,GNU C++17 (64),236,A
171162832,Sep/06/2022 21:50,099450735z,Stones on the Table,GNU C++17 (64),266,A
171166119,Sep/06/2022 22:26,099450735z,Bear and Big Brother,GNU C++17 (64),791,A
171167588,Sep/06/2022 22:43,099450735z,Soldier and Bananas,GNU C++17 (64),546,A
171240166,Sep/07/2022 16:40,099450735z,Elephant,GNU C++17 (64),617,A
171240256,Sep/07/2022 16:41,099450735z,Elephant,GNU C++17 (64),617,A
171263278,Sep/07/2022 20:17,099450735z,Wrong Subtraction,GNU C++17 (64),977,A
172083616,Sep/13/2022 23:40,099450735z,Tram,GNU C++17 (64),116,A
175053591,Oct/08/2022 00:11,0xessam,Team,GNU C++20 (64),231,A
176070687,Oct/13/2022 23:24,0xessam,Sum,GNU C++14,1742,A
176222786,Oct/15/2022 04:39,0xessam,Lucky?,GNU C++14,1676,A
176224358,Oct/15/2022 05:11,0xessam,Equal Candies,GNU C++14,1676,B
176623189,Oct/17/2022 01:52,0xessam,Elections,GNU C++14,1593,A
177337475,Oct/21/2022 18:51,0xessam,Chat room,GNU C++14,58,A
177509536,Oct/23/2022 05:10,0xessam,Brain's Photos,GNU C++14,707,A
177810254,Oct/25/2022 00:20,0xessam,Marathon,GNU C++14,1692,A
177811591,Oct/25/2022 00:48,0xessam,Round Down the Price,GNU C++14,1702,A
177812034,Oct/25/2022 00:58,0xessam,Round Down the Price,GNU C++14,1702,A
177905541,Oct/25/2022 19:43,0xessam,Cards,GNU C++14,1220,A
177907548,Oct/25/2022 20:01,0xessam,Amusing Joke,GNU C++14,141,A
177968422,Oct/26/2022 12:04,0xessam,Way Too Long Words,GNU C++17,71,A
178000967,Oct/26/2022 17:03,0xessam,Mahmoud and Ehab and the even odd game,GNU C++17,959,A
178005047,Oct/26/2022 17:39,0xessam,Game,GNU C++17,513,A
178027717,Oct/26/2022 20:57,0xessam,Levko and Table,GNU C++17,361,A
178150127,Oct/27/2022 22:52,0xessam,YES or YES?,GNU C++17,1703,A
178150390,Oct/27/2022 22:55,0xessam,YES or YES?,GNU C++17,1703,A
178150794,Oct/27/2022 23:00,0xessam,YES or YES?,GNU C++17,1703,A
178152037,Oct/27/2022 23:16,0xessam,ICPC Balloons,GNU C++17,1703,B
178164741,Oct/28/2022 04:08,0xessam,Cypher,GNU C++17,1703,C
178164832,Oct/28/2022 04:11,0xessam,Cypher,GNU C++17,1703,C
178165906,Oct/28/2022 04:46,0xessam,Spell Check,GNU C++17,1722,A
178250844,Oct/28/2022 19:21,0xessam,Hulk,GNU C++17,705,A
178254867,Oct/28/2022 19:56,0xessam,Mishka and Game,GNU C++17,703,A
178258155,Oct/28/2022 20:23,0xessam,Bus to Udayland,GNU C++17,711,A
178259969,Oct/28/2022 20:38,0xessam,Anton and Danik,GNU C++17,734,A
178263310,Oct/28/2022 21:05,0xessam,Stones on the Table,GNU C++17,266,A
67429373,Dec/22/2019 17:41,3bdo_Farah,Soldier and Bananas,GNU C++11,546,A
67431077,Dec/22/2019 18:14,3bdo_Farah,Beautiful Year,GNU C++11,271,A
67432724,Dec/22/2019 18:49,3bdo_Farah,Domino piling,GNU C++11,50,A
67434607,Dec/22/2019 19:36,3bdo_Farah,Theatre Square,GNU C++11,1,A
67479662,Dec/23/2019 18:33,3bdo_Farah,Young Physicist,GNU C++11,69,A
67753753,Dec/27/2019 21:42,3bdo_Farah,Boy or Girl,GNU C++17,236,A
67782963,Dec/28/2019 14:40,3bdo_Farah,Lucky Division,GNU C++17,122,A
67783929,Dec/28/2019 15:00,3bdo_Farah,Nearly Lucky Number,GNU C++17,110,A
67785279,Dec/28/2019 15:31,3bdo_Farah,Next Round,GNU C++17,158,A
67957908,Dec/30/2019 13:23,3bdo_Farah,cAPS lOCK,GNU C++17,131,A
67975341,Dec/30/2019 19:40,3bdo_Farah,Elephant,GNU C++17,617,A
67977095,Dec/30/2019 20:23,3bdo_Farah,Tram,GNU C++17,116,A
70085581,Feb/02/2020 20:03,3bdo_Farah,Even Odds,GNU C++17,318,A
70091319,Feb/02/2020 21:29,3bdo_Farah,Double Cola,GNU C++17,82,A
70092225,Feb/02/2020 21:48,3bdo_Farah,Beautiful Matrix,GNU C++17,263,A
70095576,Feb/02/2020 23:04,3bdo_Farah,Chat room,GNU C++17,58,A
70095736,Feb/02/2020 23:08,3bdo_Farah,Chat room,GNU C++17,58,A
70095937,Feb/02/2020 23:14,3bdo_Farah,Chat room,GNU C++17,58,A
70096120,Feb/02/2020 23:18,3bdo_Farah,Chat room,GNU C++17,58,A
70096274,Feb/02/2020 23:22,3bdo_Farah,Chat room,GNU C++17,58,A
70212975,Feb/04/2020 11:51,3bdo_Farah,Even Odds,GNU C++17,318,A
70311647,Feb/04/2020 22:24,3bdo_Farah,Double Cola,GNU C++14,82,A
70350050,Feb/05/2020 13:39,3bdo_Farah,Dubstep,GNU C++14,208,A
70350763,Feb/05/2020 13:52,3bdo_Farah,Dubstep,GNU C++14,208,A
70351588,Feb/05/2020 14:06,3bdo_Farah,Dubstep,GNU C++14,208,A
70352223,Feb/05/2020 14:17,3bdo_Farah,Dubstep,GNU C++14,208,A
70352518,Feb/05/2020 14:22,3bdo_Farah,Dubstep,GNU C++14,208,A
70446990,Feb/06/2020 18:22,3bdo_Farah,Candies Division,GNU C++14,1283,B
70568003,Feb/08/2020 16:41,3bdo_Farah,Mammoth's Genome Decoding,GNU C++14,747,B
70571193,Feb/08/2020 17:25,3bdo_Farah,Mammoth's Genome Decoding,GNU C++14,747,B
70584468,Feb/08/2020 21:12,3bdo_Farah,Design Tutorial: Learn from Math,GNU C++14,472,A
70585341,Feb/08/2020 21:26,3bdo_Farah,Design Tutorial: Learn from Math,GNU C++14,472,A
70586315,Feb/08/2020 21:43,3bdo_Farah,Design Tutorial: Learn from Math,GNU C++14,472,A
70586465,Feb/08/2020 21:46,3bdo_Farah,Design Tutorial: Learn from Math,GNU C++14,472,A
70616964,Feb/09/2020 13:16,3bdo_Farah,Contest,GNU C++14,501,A
70620935,Feb/09/2020 14:31,3bdo_Farah,Watching a movie,GNU C++14,499,A
70621713,Feb/09/2020 14:47,3bdo_Farah,Watching a movie,GNU C++14,499,A
70622151,Feb/09/2020 14:56,3bdo_Farah,Watching a movie,GNU C++14,499,A
70624743,Feb/09/2020 15:50,3bdo_Farah,Buttons,GNU C++14,268,B
70626763,Feb/09/2020 16:28,3bdo_Farah,Translation,GNU C++14,41,A
70635435,Feb/09/2020 17:16,3bdo_Farah,Translation,GNU C++14,41,A
70639274,Feb/09/2020 17:21,3bdo_Farah,Translation,GNU C++14,41,A
70641588,Feb/09/2020 17:25,3bdo_Farah,Translation,GNU C++14,41,A
70662456,Feb/09/2020 18:12,3bdo_Farah,Watching a movie,GNU C++14,499,A
70716737,Feb/10/2020 11:47,3bdo_Farah,Team Olympiad,GNU C++14,490,A
70717285,Feb/10/2020 11:57,3bdo_Farah,Team Olympiad,GNU C++14,490,A
70720290,Feb/10/2020 12:57,3bdo_Farah,Vasya and Socks,GNU C++14,460,A
70721347,Feb/10/2020 13:19,3bdo_Farah,New Year Candles,GNU C++14,379,A
70792858,Feb/11/2020 17:36,3bdo_Farah,Far Relative’s Problem,GNU C++14,629,B
70794238,Feb/11/2020 17:59,3bdo_Farah,Far Relative’s Problem,GNU C++14,629,B
70794531,Feb/11/2020 18:04,3bdo_Farah,Far Relative’s Problem,GNU C++14,629,B
70794583,Feb/11/2020 18:05,3bdo_Farah,Far Relative’s Problem,GNU C++14,629,B
70794947,Feb/11/2020 18:12,3bdo_Farah,Far Relative’s Problem,GNU C++14,629,B
70842793,Feb/12/2020 15:34,3bdo_Farah,Arrival of the General,GNU C++14,144,A
70842968,Feb/12/2020 15:37,3bdo_Farah,Arrival of the General,GNU C++14,144,A
70843061,Feb/12/2020 15:39,3bdo_Farah,Arrival of the General,GNU C++14,144,A
71248400,Feb/17/2020 01:30,3bdo_Farah,Little Girl and Maximum Sum,GNU C++14,276,C
71629015,Feb/22/2020 21:41,3bdo_Farah,Ilya and Queries,GNU C++14,313,B
73567256,Mar/18/2020 15:07,3bdo_Farah,Dragons,GNU C++14,230,A
73983473,Mar/22/2020 20:34,3bdo_Farah,Police Recruits,GNU C++14,427,A
74186313,Mar/24/2020 13:13,3bdo_Farah,Gravity Flip,GNU C++14,405,A
74186672,Mar/24/2020 13:17,3bdo_Farah,Gravity Flip,GNU C++14,405,A
74190158,Mar/24/2020 13:59,3bdo_Farah,Game With Sticks,GNU C++14,451,A
75285381,Apr/02/2020 22:42,3bdo_Farah,Arrival of the General,GNU C++14,144,A
75288171,Apr/02/2020 23:22,3bdo_Farah,Twins,GNU C++14,160,A
75334078,Apr/03/2020 13:52,3bdo_Farah,Ilya and Queries,GNU C++14,313,B
75334383,Apr/03/2020 13:56,3bdo_Farah,Ilya and Queries,GNU C++14,313,B
75334496,Apr/03/2020 13:57,3bdo_Farah,Ilya and Queries,GNU C++14,313,B
75334612,Apr/03/2020 13:59,3bdo_Farah,Ilya and Queries,GNU C++14,313,B
75334751,Apr/03/2020 14:00,3bdo_Farah,Ilya and Queries,GNU C++14,313,B
77061624,Apr/17/2020 13:33,3bdo_Farah,Sereja and Suffixes,GNU C++14,368,B
77062089,Apr/17/2020 13:38,3bdo_Farah,Sereja and Suffixes,GNU C++14,368,B
77303047,Apr/19/2020 21:16,3bdo_Farah,Little Girl and Maximum Sum,GNU C++14,276,C
77331796,Apr/20/2020 09:25,3bdo_Farah,Kuriyama Mirai's Stones,GNU C++14,433,B
77721979,Apr/23/2020 10:08,3bdo_Farah,Vanya and Fence,GNU C++14,677,A
77724266,Apr/23/2020 10:36,3bdo_Farah,Anton and Danik,GNU C++14,734,A
77724892,Apr/23/2020 10:44,3bdo_Farah,Bear and Big Brother,GNU C++14,791,A
77725580,Apr/23/2020 10:53,3bdo_Farah,Team,GNU C++14,231,A
77726119,Apr/23/2020 11:00,3bdo_Farah,Beautiful Matrix,GNU C++14,263,A
77726503,Apr/23/2020 11:05,3bdo_Farah,Beautiful Matrix,GNU C++14,263,A
77728398,Apr/23/2020 11:29,3bdo_Farah,New Password,GNU C++14,770,A
77730008,Apr/23/2020 11:48,3bdo_Farah,Word,GNU C++14,59,A
77737167,Apr/23/2020 12:56,3bdo_Farah,Black Square,GNU C++14,431,A
77740834,Apr/23/2020 13:39,3bdo_Farah,Police Recruits,GNU C++14,427,A
77741903,Apr/23/2020 13:51,3bdo_Farah,Magnets,GNU C++14,344,A
77743266,Apr/23/2020 14:08,3bdo_Farah,Sereja and Dima,GNU C++14,381,A
77743826,Apr/23/2020 14:14,3bdo_Farah,Stones on the Table,GNU C++14,266,A
77746212,Apr/23/2020 14:35,3bdo_Farah,Petya and Strings,GNU C++14,112,A
77747685,Apr/23/2020 14:46,3bdo_Farah,Boy or Girl,GNU C++14,236,A
77752042,Apr/23/2020 15:29,3bdo_Farah,Night at the Museum,GNU C++14,731,A
77882656,Apr/24/2020 09:22,3bdo_Farah,I Wanna Be the Guy,GNU C++14,469,A
78025295,Apr/25/2020 15:58,3bdo_Farah,I Wanna Be the Guy,GNU C++14,469,A
78025954,Apr/25/2020 16:08,3bdo_Farah,Free Ice Cream,GNU C++14,686,A
78036194,Apr/25/2020 17:45,3bdo_Farah,Way Too Long Words,GNU C++14,71,A
78037504,Apr/25/2020 17:57,3bdo_Farah,Anton and Letters,GNU C++14,443,A
78042141,Apr/25/2020 18:40,3bdo_Farah,Die Roll,GNU C++14,9,A
78045392,Apr/25/2020 19:12,3bdo_Farah,Buy a Shovel,GNU C++14,732,A
78490641,Apr/29/2020 18:10,3bdo_Farah,Team Olympiad,GNU C++14,490,A
78491514,Apr/29/2020 18:20,3bdo_Farah,Helpful Maths,GNU C++14,339,A
78493537,Apr/29/2020 18:40,3bdo_Farah,Shaass and Oskols,GNU C++14,294,A
78579042,Apr/30/2020 18:02,3bdo_Farah,Is your horseshoe on the other hoof?,GNU C++14,228,A
78583742,Apr/30/2020 18:58,3bdo_Farah,Colorful Stones (Simplified Edition),GNU C++14,265,A
78586261,Apr/30/2020 19:27,3bdo_Farah,Juicer,GNU C++14,709,A
79308451,May/07/2020 19:32,3bdo_Farah,Calculating Function,GNU C++14,486,A
79314962,May/07/2020 20:55,3bdo_Farah,Brain's Photos,GNU C++14,707,A
79443804,May/09/2020 11:18,3bdo_Farah,Keyboard,GNU C++14,474,A
79447501,May/09/2020 12:09,3bdo_Farah,Lineland Mail,GNU C++14,567,A
79618471,May/10/2020 08:21,3bdo_Farah,Pangram,GNU C++14,520,A
79618828,May/10/2020 08:29,3bdo_Farah,Pangram,GNU C++14,520,A
79619460,May/10/2020 08:40,3bdo_Farah,Presents,GNU C++14,136,A
79620365,May/10/2020 09:21,3bdo_Farah,Presents,GNU C++14,136,A
79623137,May/10/2020 09:56,3bdo_Farah,Oath of the Night's Watch,GNU C++14,768,A
80079035,May/14/2020 17:31,3bdo_Farah,Counterexample,GNU C++14,483,A
80083999,May/14/2020 17:42,3bdo_Farah,Counterexample,GNU C++14,483,A
80126916,May/14/2020 18:29,3bdo_Farah,Theatre Square,GNU C++14,1,A
80543565,May/17/2020 20:42,3bdo_Farah,Bit++,GNU C++14,282,A
83201842,Jun/09/2020 11:49,3bdo_Farah,Dice Tower,GNU C++14,225,A
83203542,Jun/09/2020 12:11,3bdo_Farah,Good Number,GNU C++14,365,A
83207537,Jun/09/2020 13:06,3bdo_Farah,IQ Test,GNU C++14,287,A
83211452,Jun/09/2020 13:58,3bdo_Farah,Alyona and Numbers,GNU C++14,682,A
83481021,Jun/11/2020 23:32,3bdo_Farah,Elephant,GNU C++14,617,A
83520287,Jun/12/2020 13:23,3bdo_Farah,Raising Bacteria,GNU C++14,579,A
83522805,Jun/12/2020 13:56,3bdo_Farah,Snow Footprints,GNU C++14,298,A
83529908,Jun/12/2020 15:27,3bdo_Farah,BowWow and the Timetable,GNU C++14,1204,A
83533754,Jun/12/2020 16:15,3bdo_Farah,Chewbaсca and Number,GNU C++14,514,A
83542512,Jun/12/2020 18:01,3bdo_Farah,Help Vasilisa the Wise 2,GNU C++14,143,A
83591653,Jun/13/2020 11:22,3bdo_Farah,Valera and X,GNU C++14,404,A
83597736,Jun/13/2020 12:45,3bdo_Farah,Mountain Scenery,GNU C++14,218,A
83598641,Jun/13/2020 12:57,3bdo_Farah,Mountain Scenery,GNU C++14,218,A
83727338,Jun/14/2020 10:49,3bdo_Farah,Yaroslav and Permutations,GNU C++14,296,A
83730378,Jun/14/2020 11:31,3bdo_Farah,Ksenia and Pan Scales,GNU C++14,382,A
83736602,Jun/14/2020 12:55,3bdo_Farah,Polo the Penguin and Segments,GNU C++14,289,A
83740784,Jun/14/2020 13:51,3bdo_Farah,Launch of Collider,GNU C++14,699,A
83741156,Jun/14/2020 13:56,3bdo_Farah,Launch of Collider,GNU C++14,699,A
83745940,Jun/14/2020 15:02,3bdo_Farah,Balanced Rating Changes,GNU C++14,1237,A
84138990,Jun/18/2020 11:24,3bdo_Farah,Games,GNU C++14,268,A
84596246,Jun/21/2020 18:20,3bdo_Farah,Sereja and Suffixes,GNU C++14,368,B
84743257,Jun/23/2020 15:50,3bdo_Farah,Books,GNU C++14,279,B
84802394,Jun/23/2020 18:26,3bdo_Farah,FashionabLee,GNU C++14,1369,A
84817749,Jun/23/2020 19:26,3bdo_Farah,Dreamoon and WiFi,GNU C++14,476,B
84821077,Jun/23/2020 19:57,3bdo_Farah,AccurateLee,GNU C++14,1369,B
84832658,Jun/23/2020 22:21,3bdo_Farah,Complete the Word,GNU C++14,716,B
84867825,Jun/24/2020 11:14,3bdo_Farah,Tavas and SaDDas,GNU C++14,535,B
85098724,Jun/26/2020 10:02,3bdo_Farah,Carrot Cakes,GNU C++14,799,A
85102975,Jun/26/2020 10:56,3bdo_Farah,Mahmoud and Longest Uncommon Subsequence,GNU C++14,766,A
85103231,Jun/26/2020 10:59,3bdo_Farah,Mahmoud and Longest Uncommon Subsequence,GNU C++14,766,A
85105754,Jun/26/2020 11:31,3bdo_Farah,Snacktower,GNU C++14,767,A
85208574,Jun/27/2020 15:08,3bdo_Farah,Sort the Array,GNU C++17,451,B
85264510,Jun/28/2020 09:55,3bdo_Farah,Colorful Field,GNU C++17,79,B
85295569,Jun/28/2020 17:30,3bdo_Farah,C+=,GNU C++17,1368,A
85363738,Jun/28/2020 18:57,3bdo_Farah,Required Remainder,GNU C++17,1374,A
85365311,Jun/28/2020 19:00,3bdo_Farah,Required Remainder,GNU C++17,1374,A
85390281,Jun/28/2020 20:05,3bdo_Farah,Move Brackets,GNU C++17,1374,C
85646108,Jul/01/2020 17:00,3bdo_Farah,Magical Sticks,GNU C++17,1371,A
85674362,Jul/01/2020 17:51,3bdo_Farah,Magical Calendar,GNU C++17,1371,B
85796213,Jul/02/2020 20:27,3bdo_Farah,k th divisor,GNU C++17,762,A
86499979,Jul/11/2020 14:50,3bdo_Farah,Coins,GNU C++17,47,B
86501690,Jul/11/2020 15:16,3bdo_Farah,Decoding,GNU C++17,746,B
86584377,Jul/11/2020 19:45,3bdo_Farah,Omkar and Completion,GNU C++17,1372,A
86625502,Jul/12/2020 09:34,3bdo_Farah,Easter Eggs,GNU C++17,78,B
86627438,Jul/12/2020 10:01,3bdo_Farah,Sum of Digits,GNU C++17,102,B
86630404,Jul/12/2020 10:46,3bdo_Farah,Burglar and Matches,GNU C++17,16,B
86745465,Jul/13/2020 15:08,3bdo_Farah,Panoramix's Prediction,GNU C++17,80,A
86746548,Jul/13/2020 15:23,3bdo_Farah,Football,GNU C++17,43,A
86748931,Jul/13/2020 15:54,3bdo_Farah,Olesya and Rodion,GNU C++17,584,A
86751384,Jul/13/2020 16:28,3bdo_Farah,Arpa’s hard exam and Mehrdad’s naive cheat,GNU C++17,742,A
86754980,Jul/13/2020 17:14,3bdo_Farah,Anton and Polyhedrons,GNU C++17,785,A
86755977,Jul/13/2020 17:26,3bdo_Farah,Is it rated?,GNU C++17,807,A
87112326,Jul/17/2020 18:10,3bdo_Farah,Three Pairwise Maximums,GNU C++17,1385,A
87119451,Jul/17/2020 18:19,3bdo_Farah,Restore the Permutation by Merger,GNU C++17,1385,B
87167517,Jul/17/2020 20:42,3bdo_Farah,Make It Good,GNU C++17,1385,C
87570389,Jul/21/2020 18:44,3bdo_Farah,Common Subsequence,GNU C++17,1382,A
87596484,Jul/21/2020 20:26,3bdo_Farah,Prefix Flip (Easy Version),GNU C++17,1382,C1
88221232,Jul/28/2020 19:14,3bdo_Farah,ZgukistringZ,GNU C++17,551,B
88221584,Jul/28/2020 19:19,3bdo_Farah,ZgukistringZ,GNU C++17,551,B
88229938,Jul/28/2020 21:27,3bdo_Farah,ZgukistringZ,GNU C++17,551,B
88280921,Jul/29/2020 14:37,3bdo_Farah,Mezo Playing Zoma,GNU C++17,1285,A
88376941,Jul/29/2020 21:10,3bdo_Farah,Good String,GNU C++17,1389,C
88624229,Aug/01/2020 01:09,3bdo_Farah,Amusing Joke,GNU C++17,141,A
88818477,Aug/03/2020 20:09,3bdo_Farah,Cutting,GNU C++14,998,B
88918694,Aug/05/2020 08:47,3bdo_Farah,CopyCopyCopyCopyCopy,GNU C++14,1325,B
88964509,Aug/05/2020 17:41,3bdo_Farah,Remove Smallest,GNU C++14,1399,A
88982180,Aug/05/2020 17:53,3bdo_Farah,Gifts Fixing,GNU C++14,1399,B
89050292,Aug/05/2020 19:44,3bdo_Farah,Boats Competition,GNU C++14,1399,C
89196070,Aug/07/2020 13:30,3bdo_Farah,Phone Numbers,GNU C++14,151,B
89656593,Aug/12/2020 16:57,3bdo_Farah,Three Parts of the Array,GNU C++14,1006,C
89712926,Aug/12/2020 19:00,3bdo_Farah,Order Book,GNU C++14,572,B
89786798,Aug/13/2020 14:04,3bdo_Farah,Odd sum,GNU C++14,797,B
89922023,Aug/14/2020 18:22,3bdo_Farah,Substring Removal Game,GNU C++14,1398,B
89940109,Aug/14/2020 19:01,3bdo_Farah,Bad Triangle,GNU C++14,1398,A
90830280,Aug/24/2020 16:37,3bdo_Farah,Magic Powder   1,GNU C++14,670,D1
90831279,Aug/24/2020 16:50,3bdo_Farah,Magic Powder   1,GNU C++14,670,D1
90832853,Aug/24/2020 17:10,3bdo_Farah,Magic Powder   2,GNU C++14,670,D2
90930681,Aug/25/2020 18:02,3bdo_Farah,String Similarity,GNU C++14,1400,A
90987329,Aug/25/2020 19:55,3bdo_Farah,Chat Order,GNU C++14,637,B
90996157,Aug/25/2020 21:36,3bdo_Farah,Kirill And The Game,GNU C++14,842,A
91345668,Aug/30/2020 16:27,3bdo_Farah,A and B and Compilation Errors,GNU C++14,519,B
91386238,Aug/30/2020 18:31,3bdo_Farah,Heap Operations,GNU C++14,681,C
91561387,Sep/01/2020 14:42,3bdo_Farah,Little Elephant and Cards,GNU C++17,205,D
91576809,Sep/01/2020 17:58,3bdo_Farah,Longest Regular Bracket Sequence,GNU C++17,5,C
91589176,Sep/01/2020 20:35,3bdo_Farah,They Are Everywhere,GNU C++17,701,C
91674659,Sep/03/2020 00:07,3bdo_Farah,Subsegments,GNU C++14,69,E
91718047,Sep/03/2020 15:47,3bdo_Farah,Energy exchange,GNU C++14,68,B
91792834,Sep/04/2020 15:42,3bdo_Farah,Square Earth?,GNU C++14,57,A
91793608,Sep/04/2020 15:55,3bdo_Farah,Lucky Conversion,GNU C++14,145,A
91796056,Sep/04/2020 16:33,3bdo_Farah,Hard Work,GNU C++14,61,B
91816648,Sep/04/2020 17:47,3bdo_Farah,Yet Another Two Integers Problem,GNU C++14,1409,A
91859079,Sep/04/2020 18:59,3bdo_Farah,Minimum Product,GNU C++14,1409,B
91877956,Sep/04/2020 19:46,3bdo_Farah,Yet Another Array Restoration,GNU C++14,1409,C
92084507,Sep/06/2020 21:47,3bdo_Farah,Restoring Increasing Sequence,GNU C++14,490,E
92087570,Sep/06/2020 22:43,3bdo_Farah,Restoring Increasing Sequence,GNU C++14,490,E
92087795,Sep/06/2020 22:47,3bdo_Farah,Restoring Increasing Sequence,GNU C++14,490,E
92282363,Sep/08/2020 19:31,3bdo_Farah,Xenia and Divisors,GNU C++14,342,A
92584787,Sep/12/2020 16:51,3bdo_Farah,T primes,GNU C++14,230,B
92589156,Sep/12/2020 16:58,3bdo_Farah,T primes,GNU C++14,230,B
92611338,Sep/12/2020 17:38,3bdo_Farah,Almost Prime,GNU C++14,26,A
92638112,Sep/12/2020 18:38,3bdo_Farah,Binary Number,GNU C++14,92,B
92654775,Sep/12/2020 20:48,3bdo_Farah,Tavas and SaDDas,GNU C++14,535,B
92989569,Sep/16/2020 18:48,3bdo_Farah,Dreamoon and WiFi,GNU C++14,476,B
92992087,Sep/16/2020 19:24,3bdo_Farah,Dreamoon and WiFi,GNU C++14,476,B
92995548,Sep/16/2020 20:10,3bdo_Farah,New Year Transportation,GNU C++17,500,A
92997171,Sep/16/2020 20:34,3bdo_Farah,New Year Transportation,GNU C++17,500,A
93044732,Sep/17/2020 15:21,3bdo_Farah,Pipeline,GNU C++17,287,B
93499817,Sep/22/2020 19:03,3bdo_Farah,Wasted Time,GNU C++17,127,A
93507586,Sep/22/2020 20:52,3bdo_Farah,Fancy Fence,GNU C++17,270,A
93722774,Sep/24/2020 21:12,3bdo_Farah,Rock and Lever,GNU C++17,1420,B
93725723,Sep/24/2020 21:39,3bdo_Farah,Rock and Lever,GNU C++17,1420,B
93883603,Sep/26/2020 17:31,3bdo_Farah,System of Equations,GNU C++17,214,A
93984968,Sep/27/2020 18:32,3bdo_Farah,Copy paste,GNU C++14,1417,A
93996299,Sep/27/2020 18:57,3bdo_Farah,Two Arrays,GNU C++14,1417,B
94099599,Sep/28/2020 12:28,3bdo_Farah,Floor Number,GNU C++14,1426,A
94104133,Sep/28/2020 12:43,3bdo_Farah,Increase and Copy,GNU C++14,1426,C
94296028,Sep/30/2020 17:03,3bdo_Farah,Hexadecimal's theorem,GNU C++14,199,A
94296296,Sep/30/2020 17:06,3bdo_Farah,Hexadecimal's theorem,GNU C++14,199,A
94298257,Sep/30/2020 17:31,3bdo_Farah,Visiting a Friend,GNU C++14,902,A
95097396,Oct/10/2020 17:59,3bdo_Farah,Preparing Olympiad,GNU C++14,550,B
95433034,Oct/13/2020 17:03,3bdo_Farah,From Hero to Zero,GNU C++14,1175,A
95529998,Oct/14/2020 20:25,3bdo_Farah,Forming Teams,GNU C++14,216,B
