#,When,Who,Language,Time,Memory,Number_Class,Problem_name,Number,Class
166730720,Aug/02/2022 21:25,Anti_tourist4000,GNU C++20 (64),30 ms,0 KB,4A,Watermelon,4,A
136361937,Nov/21/2021 21:16,_Salty,GNU C++17,30 ms,0 KB,4A,Watermelon,4,A
161199352,Jun/19/2022 13:13,The_soviet_cat,GNU C++17,30 ms,0 KB,4A,Watermelon,4,A
16554516,Mar/06/2016 18:43,Zaher,MS C++,30 ms,0 KB,4A,Watermelon,4,A
147932903,Feb/28/2022 13:52,ZENGOO,GNU C++14,30 ms,0 KB,4A,Watermelon,4,A
167658015,Aug/09/2022 19:12,Abdulrhaim_Ma,GNU C++17 (64),0 ms,0 KB,4A,Watermelon,4,A
182913521,Nov/27/2022 17:00,Mounir_Maleh,MS C++ 2017,30 ms,0 KB,4A,Watermelon,4,A
66366459,Dec/05/2019 22:37,AhmadShahal,GNU C++14,62 ms,0 KB,4A,Watermelon,4,A
49740619,Feb/10/2019 21:54,abod3e9,GNU C++11,62 ms,0 KB,4A,Watermelon,4,A
57325406,Jul/19/2019 14:54,Raed_Sb,GNU C++14,62 ms,0 KB,4A,Watermelon,4,A
111549578,Mar/31/2021 14:05,Lanakhaled,GNU C++17,60 ms,0 KB,4A,Watermelon,4,A
101435218,Dec/16/2020 17:42,Amr_Kart,GNU C++11,62 ms,0 KB,4A,Watermelon,4,A
108987984,Mar/03/2021 11:29,Bsher,GNU C++17,62 ms,0 KB,4A,Watermelon,4,A
103608040,Jan/07/2021 10:29,DARK-N,GNU C++17,62 ms,0 KB,4A,Watermelon,4,A
147615759,Feb/25/2022 02:51,obada_katma,MS C++ 2017,30 ms,0 KB,4A,Watermelon,4,A
177278944,Oct/21/2022 11:33,A.M.B.E,GNU C++17,30 ms,0 KB,4A,Watermelon,4,A
109208108,Mar/06/2021 11:48,AbdAlrhman_QaraBolad,GNU C++17,60 ms,300 KB,4A,Watermelon,4,A
194173057,Feb/19/2023 02:15,Abd_Alrahman_Alsyed,GNU C++17,30 ms,0 KB,4A,Watermelon,4,A
156933147,May/12/2022 18:00,Hamza_Alattar.1,GNU C++17,30 ms,0 KB,4A,Watermelon,4,A
168460002,Aug/16/2022 07:44,mlakdyab578,GNU C++17,0 ms,0 KB,4A,Watermelon,4,A
141907063,Jan/07/2022 15:33,Mohamed-Omran,GNU C++17,30 ms,0 KB,4A,Watermelon,4,A
175837272,Oct/13/2022 09:14,MuhannadW,GNU C++17,30 ms,0 KB,4A,Watermelon,4,A
181413450,Nov/18/2022 15:33,Mohammed_Abdelkareem,GNU C++17,0 ms,0 KB,4A,Watermelon,4,A
113431567,Apr/18/2021 19:55,Brre.Hemo,GNU C++17,62 ms,0 KB,4A,Watermelon,4,A
33921146,Jan/05/2018 15:01,RedNextCentury,GNU C++11,30 ms,2000 KB,4A,Watermelon,4,A
180422695,Nov/11/2022 08:47,abd-alrzaq,GNU C++20 (64),0 ms,0 KB,4A,Watermelon,4,A
147777262,Feb/26/2022 17:01,KHALED.TELLO,MS C++ 2017,30 ms,0 KB,4A,Watermelon,4,A
74364218,Mar/26/2020 11:05,Dodeh,GNU C++11,62 ms,0 KB,4A,Watermelon,4,A
3499298,Apr/10/2013 15:38,RedNextCentury,GNU C++,15 ms,0 KB,4A,Watermelon,4,A
202247970,Apr/15/2023 16:33,AmmarDab3an,GNU C++17,30 ms,0 KB,4A,Watermelon,4,A
202248421,Apr/15/2023 16:37,AmmarDab3an,GNU C++17,30 ms,0 KB,4A,Watermelon,4,A
113345746,Apr/17/2021 18:32,Alhomse,MS C++,62 ms,0 KB,4A,Watermelon,4,A
105547221,Jan/27/2021 10:56,043_33798_Nuraiym-7,GNU C++17,62 ms,0 KB,4A,Watermelon,4,A
181859083,Nov/21/2022 12:06,codeiologist,GNU C++17 (64),30 ms,0 KB,4A,Watermelon,4,A
123176282,Jul/21/2021 12:41,_SADIEM_,GNU C++17,60 ms,3700 KB,4A,Watermelon,4,A
173703543,Sep/27/2022 15:40,Mohammad_Alassali,GNU C++17,30 ms,0 KB,4A,Watermelon,4,A
77571221,Apr/21/2020 19:52,ahmad_alghadban,GNU C++17,62 ms,0 KB,4A,Watermelon,4,A
112185507,Apr/07/2021 02:29,_SADIEM_,GNU C++14,30 ms,800 KB,4A,Watermelon,4,A
104945754,Jan/21/2021 05:35,_SADIEM_,GNU C++14,60 ms,0 KB,4A,Watermelon,4,A
97384955,Nov/01/2020 23:32,AmmarDab3an,GNU C++17,62 ms,0 KB,4A,Watermelon,4,A
183033407,Nov/28/2022 17:46,Amr_Kart,GNU C++20 (64),30 ms,0 KB,4A,Watermelon,4,A
97385052,Nov/01/2020 23:35,AmmarDab3an,GNU C++17,312 ms,0 KB,4A,Watermelon,4,A
91989703,Sep/06/2020 09:43,Kavaliro,GNU C++17 (64),62 ms,0 KB,4A,Watermelon,4,A
196915430,Mar/11/2023 13:01,Mohammed_Abdelkareem,GNU C++17,30 ms,0 KB,4A,Watermelon,4,A
186234470,Dec/21/2022 17:22,MuhammadMak,GNU C++17,15 ms,0 KB,71A,Way Too Long Words,71,A
182467776,Nov/25/2022 16:49,Ansam092,GNU C++17,15 ms,0 KB,71A,Way Too Long Words,71,A
162178063,Jun/29/2022 00:08,Conan_y65,GNU C++20 (64),15 ms,0 KB,71A,Way Too Long Words,71,A
149016295,Mar/09/2022 20:37,anas_allaham,MS C++ 2017,15 ms,0 KB,71A,Way Too Long Words,71,A
173722321,Sep/27/2022 18:13,IT-24-,GNU C++17,15 ms,0 KB,71A,Way Too Long Words,71,A
149237618,Mar/11/2022 13:27,mkdad_taleb,GNU C++17,15 ms,0 KB,71A,Way Too Long Words,71,A
161801742,Jun/25/2022 20:51,masa_beydoun,GNU C++17,15 ms,1000 KB,71A,Way Too Long Words,71,A
145997702,Feb/12/2022 01:00,Zeina_Albarre,GNU C++20 (64),15 ms,0 KB,71A,Way Too Long Words,71,A
156413084,May/09/2022 16:06,HASSAN_GH,GNU C++17,15 ms,0 KB,71A,Way Too Long Words,71,A
173855541,Sep/28/2022 22:35,Bicso,GNU C++14,15 ms,0 KB,71A,Way Too Long Words,71,A
132377185,Oct/18/2021 21:02,Mohammed--alhefawe,GNU C++17 (64),15 ms,0 KB,71A,Way Too Long Words,71,A
174665530,Oct/04/2022 22:19,ShathaS2003,GNU C++17,15 ms,0 KB,71A,Way Too Long Words,71,A
167700637,Aug/10/2022 06:15,Omani,GNU C++17,15 ms,0 KB,71A,Way Too Long Words,71,A
169585087,Aug/25/2022 11:03,sarah.m.akkad,GNU C++17,15 ms,0 KB,71A,Way Too Long Words,71,A
95182712,Oct/11/2020 10:19,Bsher,GNU C++17,31 ms,0 KB,71A,Way Too Long Words,71,A
148095575,Mar/02/2022 11:48,obadaa.masri,GNU C++17,15 ms,0 KB,71A,Way Too Long Words,71,A
183060741,Nov/28/2022 22:29,Mounir_Maleh,GNU C++17,15 ms,0 KB,71A,Way Too Long Words,71,A
3499219,Apr/10/2013 15:14,RedNextCentury,GNU C++,15 ms,100 KB,71A,Way Too Long Words,71,A
177968422,Oct/26/2022 12:04,0xessam,GNU C++17,15 ms,0 KB,71A,Way Too Long Words,71,A
67294719,Dec/20/2019 19:35,Diab,GNU C++11,31 ms,0 KB,71A,Way Too Long Words,71,A
43533677,Sep/28/2018 17:28,ali.alnahhas.22,GNU C++11,31 ms,0 KB,71A,Way Too Long Words,71,A
26708660,Apr/27/2017 22:17,samer_orfali,GNU C++,30 ms,2000 KB,71A,Way Too Long Words,71,A
168784541,Aug/18/2022 12:42,sidratello9,GNU C++17,15 ms,0 KB,71A,Way Too Long Words,71,A
174681515,Oct/05/2022 04:16,codeiologist,GNU C++17 (64),31 ms,0 KB,71A,Way Too Long Words,71,A
149661866,Mar/15/2022 03:02,Bassam1412,GNU C++17,15 ms,0 KB,71A,Way Too Long Words,71,A
158565158,May/26/2022 23:34,099450735z,GNU C++17 (64),15 ms,0 KB,71A,Way Too Long Words,71,A
162980099,Jul/06/2022 11:49,amarashujaa,GNU C++17,15 ms,0 KB,71A,Way Too Long Words,71,A
106744235,Feb/07/2021 16:13,Mohamed-Omran,GNU C++17,30 ms,0 KB,71A,Way Too Long Words,71,A
78036194,Apr/25/2020 17:45,3bdo_Farah,GNU C++14,31 ms,0 KB,71A,Way Too Long Words,71,A
206177232,May/17/2023 09:49,Abd_Alrahman_Alsyed,GNU C++17,15 ms,0 KB,71A,Way Too Long Words,71,A
163775951,Jul/12/2022 12:57,kinannotfound,GNU C++20 (64),15 ms,0 KB,71A,Way Too Long Words,71,A
178833556,Nov/01/2022 15:25,obada_katma,GNU C++20 (64),15 ms,0 KB,71A,Way Too Long Words,71,A
39628682,Jun/24/2018 21:32,ali.alnahhas.22,GNU C++11,15 ms,0 KB,71A,Way Too Long Words,71,A
185437466,Dec/16/2022 12:33,ghaith.clash88,GNU C++17 (64),15 ms,0 KB,71A,Way Too Long Words,71,A
109116176,Mar/05/2021 02:24,Bassam1412,GNU C++17,31 ms,0 KB,71A,Way Too Long Words,71,A
168415954,Aug/15/2022 19:22,Abdulrhaim_Ma,GNU C++17,15 ms,200 KB,71A,Way Too Long Words,71,A
56509841,Jul/04/2019 12:47,abod3e9,GNU C++14,31 ms,0 KB,71A,Way Too Long Words,71,A
147802501,Feb/26/2022 22:03,ghina.alrefai,GNU C++17,15 ms,0 KB,71A,Way Too Long Words,71,A
107386721,Feb/15/2021 10:48,043_33798_Nuraiym-7,GNU C++17,31 ms,0 KB,71A,Way Too Long Words,71,A
147948203,Feb/28/2022 16:42,ZENGOO,GNU C++14,15 ms,0 KB,71A,Way Too Long Words,71,A
71810047,Feb/24/2020 19:38,Bsher,GNU C++11,31 ms,0 KB,71A,Way Too Long Words,71,A
163771262,Jul/12/2022 12:17,kinannotfound,GNU C++20 (64),15 ms,0 KB,71A,Way Too Long Words,71,A
148727855,Mar/07/2022 20:53,7nooOoOoon,GNU C++17,15 ms,0 KB,71A,Way Too Long Words,71,A
162176884,Jun/28/2022 23:45,Conan_y65,GNU C++20 (64),15 ms,0 KB,71A,Way Too Long Words,71,A
141307576,Jan/01/2022 14:10,a7mad_taieb,GNU C++20 (64),15 ms,0 KB,71A,Way Too Long Words,71,A
180428376,Nov/11/2022 09:59,abd-alrzaq,GNU C++20 (64),15 ms,0 KB,71A,Way Too Long Words,71,A
180493077,Nov/11/2022 19:37,Ansam092,GNU C++17,15 ms,0 KB,71A,Way Too Long Words,71,A
71822097,Feb/24/2020 23:11,Dodeh,GNU C++11,31 ms,0 KB,71A,Way Too Long Words,71,A
177056100,Oct/19/2022 22:58,obada_katma,MS C++ 2017,15 ms,0 KB,71A,Way Too Long Words,71,A
103609964,Jan/07/2021 10:59,DARK-N,GNU C++17,31 ms,0 KB,71A,Way Too Long Words,71,A
33070001,Dec/10/2017 01:31,abdalkader-s,GNU C++14,30 ms,2000 KB,71A,Way Too Long Words,71,A
71736729,Feb/24/2020 02:43,RamaRehawi,GNU C++17,31 ms,200 KB,71A,Way Too Long Words,71,A
149017566,Mar/09/2022 20:52,M.Qattan,MS C++ 2017,15 ms,0 KB,71A,Way Too Long Words,71,A
72621338,Mar/07/2020 10:32,Tashleef,GNU C++14,30 ms,0 KB,71A,Way Too Long Words,71,A
178079001,Oct/27/2022 12:44,A.M.B.E,GNU C++17,15 ms,0 KB,71A,Way Too Long Words,71,A
157743420,May/19/2022 22:23,Nour-Aldeen,GNU C++17,15 ms,1000 KB,71A,Way Too Long Words,71,A
190592705,Jan/25/2023 23:46,_s_h_a_m__,GNU C++17,15 ms,0 KB,71A,Way Too Long Words,71,A
112938178,Apr/13/2021 17:59,Lanakhaled,MS C++ 2017,30 ms,0 KB,71A,Way Too Long Words,71,A
104181209,Jan/13/2021 12:44,RetiringNextCentury,MS C++ 2017,30 ms,0 KB,71A,Way Too Long Words,71,A
178834404,Nov/01/2022 15:32,Mohammed_Abdelkareem,GNU C++17,15 ms,200 KB,71A,Way Too Long Words,71,A
187182056,Dec/29/2022 22:30,NawarAlTibi,GNU C++17,15 ms,200 KB,71A,Way Too Long Words,71,A
71732650,Feb/23/2020 23:45,Raneem.Alhassan,GNU C++11,31 ms,0 KB,71A,Way Too Long Words,71,A
166866171,Aug/04/2022 04:36,Sarah_nn,GNU C++17,15 ms,0 KB,71A,Way Too Long Words,71,A
193038320,Feb/10/2023 12:18,_Mockingjay_,GNU C++20 (64),15 ms,0 KB,71A,Way Too Long Words,71,A
115052061,May/03/2021 18:59,Alhomse,MS C++ 2017,31 ms,100 KB,71A,Way Too Long Words,71,A
149541935,Mar/13/2022 18:49,Waellhasan,GNU C++17,15 ms,0 KB,71A,Way Too Long Words,71,A
175738731,Oct/12/2022 12:36,Abd_HM,GNU C++17,15 ms,0 KB,71A,Way Too Long Words,71,A
150015442,Mar/18/2022 14:34,MouayadL7,GNU C++14,15 ms,0 KB,71A,Way Too Long Words,71,A
115050287,May/03/2021 18:41,Ahmed-yaser,GNU C++17,30 ms,200 KB,71A,Way Too Long Words,71,A
192962936,Feb/09/2023 19:43,_Mockingjay_,GNU C++20 (64),15 ms,0 KB,71A,Way Too Long Words,71,A
167783034,Aug/10/2022 20:01,MarioAndrawos,GNU C++17,15 ms,0 KB,71A,Way Too Long Words,71,A
78972136,May/04/2020 16:43,Hamza_99,GNU C++17,31 ms,200 KB,71A,Way Too Long Words,71,A
169175846,Aug/20/2022 23:15,Kareembo,GNU C++17,15 ms,0 KB,71A,Way Too Long Words,71,A
166726313,Aug/02/2022 20:42,Anti_tourist4000,GNU C++20 (64),15 ms,0 KB,71A,Way Too Long Words,71,A
196456765,Mar/08/2023 06:22,abdalrhman.alkafry,GNU C++17 (64),15 ms,0 KB,71A,Way Too Long Words,71,A
159220145,Jun/02/2022 09:38,Hamza_Alattar.1,GNU C++17,15 ms,0 KB,71A,Way Too Long Words,71,A
109346825,Mar/07/2021 18:35,Alaa-Kaadan,GNU C++17,31 ms,200 KB,71A,Way Too Long Words,71,A
62318795,Oct/10/2019 19:04,sepsa.m,GNU C++17,30 ms,0 KB,71A,Way Too Long Words,71,A
148689516,Mar/07/2022 14:17,7amzahsa,GNU C++20 (64),15 ms,0 KB,71A,Way Too Long Words,71,A
146870635,Feb/18/2022 22:41,_Salty,GNU C++17,15 ms,200 KB,71A,Way Too Long Words,71,A
17523145,Apr/26/2016 17:25,Zaher,GNU C++11,30 ms,2200 KB,71A,Way Too Long Words,71,A
156230906,May/07/2022 22:27,OmranMk,GNU C++17,15 ms,200 KB,71A,Way Too Long Words,71,A
109211481,Mar/06/2021 12:39,AbdAlrhman_QaraBolad,GNU C++17,15 ms,200 KB,71A,Way Too Long Words,71,A
125882031,Aug/14/2021 23:48,Diab,GNU C++17,15 ms,3800 KB,71A,Way Too Long Words,71,A
147476816,Feb/23/2022 16:43,AbdAR,GNU C++17,15 ms,0 KB,71A,Way Too Long Words,71,A
156230809,May/07/2022 22:25,OmranMk,GNU C++17,15 ms,200 KB,71A,Way Too Long Words,71,A
58837944,Aug/15/2019 01:49,Raed_Sb,GNU C++14,31 ms,0 KB,71A,Way Too Long Words,71,A
169067662,Aug/20/2022 13:33,Mohammad_Alassali,GNU C++17,15 ms,0 KB,71A,Way Too Long Words,71,A
58498084,Aug/09/2019 16:03,yaser.harba,GNU C++17,31 ms,200 KB,71A,Way Too Long Words,71,A
71763842,Feb/24/2020 15:51,AhmadShahal,GNU C++14,30 ms,200 KB,71A,Way Too Long Words,71,A
168000146,Aug/12/2022 20:02,Wiaam_SA,GNU C++17,15 ms,0 KB,71A,Way Too Long Words,71,A
148733286,Mar/07/2022 21:56,sanji333333,GNU C++17,15 ms,200 KB,71A,Way Too Long Words,71,A
200481972,Apr/03/2023 00:16,mohammed_kurdi,GNU C++20 (64),0 ms,0 KB,71A,Way Too Long Words,71,A
32818033,Dec/01/2017 01:58,SaeedSabbagh,GNU C++17 Diagnostics,1714 ms,98600 KB,71A,Way Too Long Words,71,A
101452110,Dec/16/2020 20:42,Amr_Kart,GNU C++11,31 ms,0 KB,71A,Way Too Long Words,71,A
154148887,Apr/20/2022 01:02,AbodeKu,GNU C++17,15 ms,200 KB,71A,Way Too Long Words,71,A
49459370,Feb/04/2019 15:11,Ahmad7_7,GNU C++17,31 ms,400 KB,71A,Way Too Long Words,71,A
124493462,Aug/01/2021 12:35,_SADIEM_,GNU C++17,46 ms,3800 KB,71A,Way Too Long Words,71,A
156180815,May/07/2022 12:34,dee..,GNU C++17,15 ms,100 KB,71A,Way Too Long Words,71,A
108834701,Mar/01/2021 23:22,OmranMk,GNU C++17,31 ms,0 KB,71A,Way Too Long Words,71,A
176170899,Oct/14/2022 18:00,MuhannadW,GNU C++17,15 ms,200 KB,71A,Way Too Long Words,71,A
169055288,Aug/20/2022 11:31,Mohammad_Alassali,GNU C++17,15 ms,200 KB,71A,Way Too Long Words,71,A
120744303,Jun/27/2021 18:09,Brre.Hemo,GNU C++17,31 ms,0 KB,71A,Way Too Long Words,71,A
46193722,Nov/25/2018 10:04,Baraa_Armoush,GNU C++11,31 ms,0 KB,71A,Way Too Long Words,71,A
178432141,Oct/29/2022 19:51,Karam_mohmd,GNU C++17,15 ms,200 KB,71A,Way Too Long Words,71,A
167723264,Aug/10/2022 11:23,sanji333333,GNU C++17,15 ms,200 KB,71A,Way Too Long Words,71,A
67811322,Dec/28/2019 20:29,Brre.Hemo,GNU C++17,15 ms,200 KB,71A,Way Too Long Words,71,A
176368856,Oct/15/2022 19:26,Mohammad_Alassali,GNU C++17,15 ms,0 KB,71A,Way Too Long Words,71,A
106393896,Feb/03/2021 20:32,DARK-N,GNU C++17,30 ms,200 KB,71A,Way Too Long Words,71,A
112185604,Apr/07/2021 02:33,_SADIEM_,GNU C++14,31 ms,800 KB,71A,Way Too Long Words,71,A
68572815,Jan/11/2020 06:20,RamaRehawi,GNU C++17,30 ms,0 KB,71A,Way Too Long Words,71,A
16425710,Feb/29/2016 15:26,Mohammad_Kartoumeh,GNU C++,30 ms,0 KB,71A,Way Too Long Words,71,A
111861148,Apr/03/2021 15:15,amarashujaa,GNU C++17,31 ms,0 KB,71A,Way Too Long Words,71,A
104946075,Jan/21/2021 05:45,_SADIEM_,GNU C++14,30 ms,0 KB,71A,Way Too Long Words,71,A
127864150,Sep/04/2021 21:00,_SADIEM_,GNU C++17,31 ms,3800 KB,71A,Way Too Long Words,71,A
48042336,Jan/06/2019 23:47,Yaman_Alwaza,GNU C++17,30 ms,300 KB,71A,Way Too Long Words,71,A
145297620,Feb/05/2022 17:16,Ahmed-yaser,GNU C++17,15 ms,0 KB,71A,Way Too Long Words,71,A
153837761,Apr/16/2022 23:58,_SADIEM_,GNU C++20 (64),15 ms,0 KB,71A,Way Too Long Words,71,A
69205673,Jan/20/2020 20:55,MouazBudier,GNU C++17,30 ms,0 KB,71A,Way Too Long Words,71,A
197566312,Mar/15/2023 23:06,Brre.Hemo,GNU C++20 (64),46 ms,62600 KB,71A,Way Too Long Words,71,A
108363090,Feb/24/2021 09:04,Brre.Hemo,GNU C++17,15 ms,200 KB,71A,Way Too Long Words,71,A
111473985,Mar/30/2021 15:53,Brre.Hemo,GNU C++17,30 ms,200 KB,71A,Way Too Long Words,71,A
146304354,Feb/14/2022 07:41,Zeina_Albarre,GNU C++20 (64),30 ms,0 KB,231A,Team,231,A
146972708,Feb/19/2022 23:11,anas_allaham,MS C++ 2017,30 ms,0 KB,231A,Team,231,A
