Student,Problem Name,A,B,C,D,J,E,L,K,G,H,B1,B2,G1,F,I,M,B3,D1,D2,Y,X,Z,R,N,L1,L2,C1,F1,E1,C2,100,F2,E2,Q,P,A1,A2,O,U,W,T,G3,G2,F3,1,S,101,H1,H2,123,problem_difficulty,solving_times,Tag_binarysearch,Tag_bitmasks,Tag_bruteforce,Tag_constructivealgorithms,Tag_datastructures,Tag_dp,Tag_expressionparsing,Tag_graphmatchings,Tag_greedy,Tag_hashing,Tag_implementation,Tag_math,Tag_numbertheory,Tag_shortestpaths,Tag_sortings,Tag_specialproblem,Tag_strings,Tag_twopointers,Problem Class A,Problem Class B,previous_solved_problems_count,y,الأساسيات,أنواع البيانات,المتغيرات,التعامل مع الأعداد,التعامل مع النصوص,العوامل,المصفوفات,الدوال,الحلقات,الشروط,tutorial_difficulty
Abd_HM,Watermelon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,800,394103,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,32.646048109965726,1,1,0,0,0,1,0,0,0,1,32.64604810996561
Ahmed-yaser,Watermelon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,800,394103,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,32.646048109965726,1,1,0,0,0,1,0,0,0,1,32.64604810996561
Diab,Watermelon,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,800,394103,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,14,32.646048109965726,1,1,0,0,0,1,0,0,0,1,32.64604810996561
Bsher,Watermelon,442,317,310,238,25,147,20,23,41,44,5,4,1,80,35,11,0,6,6,1,1,1,1,3,0,0,6,3,4,6,0,3,4,1,1,0,0,1,1,1,1,0,0,0,1,1,0,0,0,0,800,394103,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1796,40.327471194663566,1,1,0,0,0,1,0,0,0,1,32.64604810996561
_SADIEM_,Watermelon,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,800,394103,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,24.484536082474268,1,1,0,0,0,1,0,0,0,1,32.64604810996561
Mohammed_Abdelkareem,Watermelon,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,800,394103,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,41,20.986745213549387,1,1,0,0,0,1,0,0,0,1,32.64604810996561
Wiaam_SA,Watermelon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,800,394103,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,24.484536082474268,1,1,0,0,0,1,0,0,0,1,32.64604810996561
a7mad_taieb,Watermelon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,800,394103,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,36.08247422680421,1,1,0,0,0,1,0,0,0,1,32.64604810996561
_Salty,Watermelon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,800,394103,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,12.242268041237134,1,1,0,0,0,1,0,0,0,1,32.64604810996561
Alhomse,Watermelon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,800,394103,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,39.900725467735754,1,1,0,0,0,1,0,0,0,1,32.64604810996561
AbdAR,Watermelon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,800,394103,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,39.17525773195883,1,1,0,0,0,1,0,0,0,1,32.64604810996561
RedNextCentury,Watermelon,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,800,394103,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,3,37.66851704996041,1,1,0,0,0,1,0,0,0,1,32.64604810996561
AhmadShahal,Watermelon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,800,394103,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,39.17525773195883,1,1,0,0,0,1,0,0,0,1,32.64604810996561
3bdo_Farah,Watermelon,137,56,20,4,0,4,0,1,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,800,394103,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,229,13.991163475699517,1,1,0,0,0,1,0,0,0,1,32.64604810996561
sanji333333,Watermelon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,800,394103,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,77.31958762886609,1,1,0,0,0,1,0,0,0,1,32.64604810996561
_s_h_a_m__,Watermelon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,800,394103,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,24.484536082474268,1,1,0,0,0,1,0,0,0,1,32.64604810996561
samer_orfali,Watermelon,58,15,5,1,1,0,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,800,394103,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,86,97.93814432989707,1,1,0,0,0,1,0,0,0,1,32.64604810996561
sepsa.m,Watermelon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,800,394103,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,32.646048109965726,1,1,0,0,0,1,0,0,0,1,32.64604810996561
Bassam1412,Watermelon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,800,394103,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,24.484536082474268,1,1,0,0,0,1,0,0,0,1,32.64604810996561
MarioAndrawos,Watermelon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,800,394103,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,24.484536082474268,1,1,0,0,0,1,0,0,0,1,32.64604810996561
MuhannadW,Watermelon,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,800,394103,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,46.83998207082035,1,1,0,0,0,1,0,0,0,1,32.64604810996561
NawarAlTibi,Watermelon,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,800,394103,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,14,32.64604810996561,1,1,0,0,0,1,0,0,0,1,32.64604810996561
Lanakhaled,Watermelon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,800,394103,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,41.973490427098774,1,1,0,0,0,1,0,0,0,1,32.64604810996561
obadaa.masri,Watermelon,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,800,394103,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,-6.529209621993212,1,1,0,0,0,1,0,0,0,1,32.64604810996561
obada_katma,Watermelon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,800,394103,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,32.646048109965726,1,1,0,0,0,1,0,0,0,1,32.64604810996561
043_33798_Nuraiym-7,Watermelon,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,800,394103,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,47.389424675756636,1,1,0,0,0,1,0,0,0,1,32.64604810996561
7nooOoOoon,Watermelon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,800,394103,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,24.484536082474268,1,1,0,0,0,1,0,0,0,1,32.64604810996561
ghina.alrefai,Watermelon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,800,394103,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,24.484536082474268,1,1,0,0,0,1,0,0,0,1,32.64604810996561
Amr_Kart,Watermelon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,800,394103,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,32.646048109965726,1,1,0,0,0,1,0,0,0,1,32.64604810996561
Mohammad_Alassali,Watermelon,26,9,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,800,394103,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,42,-10.88201603665526,1,1,0,0,0,1,0,0,0,1,32.64604810996561
IT-24-,Watermelon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,800,394103,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,32.64604810996561,1,1,0,0,0,1,0,0,0,1,32.64604810996561
Conan_y65,Watermelon,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,800,394103,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,5,24.484536082474268,1,1,0,0,0,1,0,0,0,1,32.64604810996561
7amzahsa,Watermelon,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,800,394103,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,4,32.64604810996561,1,1,0,0,0,1,0,0,0,1,32.64604810996561
M.Qattan,Watermelon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,800,394103,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,24.484536082474268,1,1,0,0,0,1,0,0,0,1,32.64604810996561
ShathaS2003,Watermelon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,800,394103,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,32.64604810996561,1,1,0,0,0,1,0,0,0,1,32.64604810996561
anas_allaham,Watermelon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,800,394103,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,32.646048109965726,1,1,0,0,0,1,0,0,0,1,32.64604810996561
ZENGOO,Watermelon,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,800,394103,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,25.773195876288657,1,1,0,0,0,1,0,0,0,1,32.64604810996561
abdalrhman.alkafry,Watermelon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,800,394103,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,40.327471194663566,1,1,0,0,0,1,0,0,0,1,32.64604810996561
Anti_tourist4000,Watermelon,44,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,800,394103,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,51,25.773195876288657,1,1,0,0,0,1,0,0,0,1,32.64604810996561
Hamza_Alattar.1,Watermelon,36,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,800,394103,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,43,52.73592386994454,1,1,0,0,0,1,0,0,0,1,32.64604810996561
Bicso,Watermelon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,800,394103,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,32.64604810996561,1,1,0,0,0,1,0,0,0,1,32.64604810996561
Zeina_Albarre,Watermelon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,800,394103,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,24.484536082474268,1,1,0,0,0,1,0,0,0,1,32.64604810996561
Abdulrhaim_Ma,Watermelon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,800,394103,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,36.082474226804095,1,1,0,0,0,1,0,0,0,1,32.64604810996561
Nour-Aldeen,Watermelon,20,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,800,394103,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,24,-5.761067313523351,1,1,0,0,0,1,0,0,0,1,32.64604810996561
ghaith.clash88,Watermelon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,800,394103,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,32.646048109965726,1,1,0,0,0,1,0,0,0,1,32.64604810996561
sarah.m.akkad,Watermelon,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,800,394103,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,42,40.327471194663566,1,1,0,0,0,1,0,0,0,1,32.64604810996561
A.M.B.E,Watermelon,36,7,5,4,0,3,0,0,1,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,800,394103,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,60,32.646048109965726,1,1,0,0,0,1,0,0,0,1,32.64604810996561
099450735z,Watermelon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,800,394103,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,32.64604810996561,1,1,0,0,0,1,0,0,0,1,32.64604810996561
Ansam092,Watermelon,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,800,394103,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,7,46.39175257731964,1,1,0,0,0,1,0,0,0,1,32.64604810996561
Alaa-Kaadan,Watermelon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,800,394103,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,24.484536082474268,1,1,0,0,0,1,0,0,0,1,32.64604810996561
Mohamed-Omran,Watermelon,90,36,9,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,800,394103,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,141,23.318605792832678,1,1,0,0,0,1,0,0,0,1,32.64604810996561
Grapeee,Watermelon,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,800,394103,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,24.484536082474268,1,1,0,0,0,1,0,0,0,1,32.64604810996561
RamaRehawi,Watermelon,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,800,394103,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,4,24.484536082474268,1,1,0,0,0,1,0,0,0,1,32.64604810996561
Mohammed--alhefawe,WayTooLongWords,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,800,289869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,38.58169322086864,1,1,1,0,0,1,1,0,1,1,75.01645097609142
OmranMk,WayTooLongWords,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,800,289869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,57.96339154218394,1,1,1,0,0,1,1,0,1,1,75.01645097609142
RetiringNextCentury,WayTooLongWords,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,800,289869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,41.070834718989154,1,1,1,0,0,1,1,0,1,1,75.01645097609142
