#,When,Who,Problem Name,Lang,Number,Class,Number_Class
158877025,2022-05-30 16:23:00,Mohammed--alhefawe,Magnets,GNU C++17,344,A,344A
158915512,2022-05-31 02:45:00,Mohammed--alhefawe,HQ9+,GNU C++17,133,A,133A
159102543,2022-05-31 23:53:00,Mohammed--alhefawe,EvenOdds,GNU C++17,318,A,318A
159289048,2022-06-02 22:41:00,Mohammed--alhefawe,CalculatingFunction,GNU C++17,486,A,486A
159289924,2022-06-02 22:55:00,Mohammed--alhefawe,Drinks,GNU C++17,200,B,200B
159352280,2022-06-03 17:37:00,Mohammed--alhefawe,UltraFastMathematician,GNU C++17,61,A,61A
159375020,2022-06-03 18:05:00,Mohammed--alhefawe,Hulk,GNU C++17,705,A,705A
159413913,2022-06-03 19:54:00,Mohammed--alhefawe,Isyourhorseshoeontheotherhoof?,GNU C++17,228,A,228A
159413961,2022-06-03 19:55:00,Mohammed--alhefawe,Isyourhorseshoeontheotherhoof?,GNU C++17,228,A,228A
159437613,2022-06-04 02:04:00,Mohammed--alhefawe,KefaandFirstSteps,GNU C++17,580,A,580A
159490989,2022-06-04 17:59:00,Mohammed--alhefawe,Taxi,GNU C++17,158,B,158B
168127873,2022-08-13 18:05:00,Mohammed--alhefawe,IWannaBetheGuy,GNU C++17,469,A,469A
168163073,2022-08-13 19:07:00,Mohammed--alhefawe,Insomniacure,GNU C++17,148,A,148A
168281324,2022-08-14 17:40:00,Mohammed--alhefawe,ArrivaloftheGeneral,GNU C++17,144,A,144A
168291048,2022-08-14 19:12:00,Mohammed--alhefawe,DivisibilityProblem,GNU C++17,1328,A,1328A
168298011,2022-08-14 20:18:00,Mohammed--alhefawe,AntonandLetters,GNU C++17,443,A,443A
168306834,2022-08-14 21:51:00,Mohammed--alhefawe,Pangram,GNU C++17,520,A,520A
168310630,2022-08-14 22:38:00,Mohammed--alhefawe,Games,GNU C++17,268,A,268A
168315556,2022-08-14 23:51:00,Mohammed--alhefawe,HittheLottery,GNU C++17,996,A,996A
168374148,2022-08-15 14:48:00,Mohammed--alhefawe,AntonandPolyhedrons,GNU C++17,785,A,785A
168378632,2022-08-15 15:21:00,Mohammed--alhefawe,AmusingJoke,GNU C++17,141,A,141A
168405756,2022-08-15 17:47:00,Mohammed--alhefawe,CandiesandTwoSisters,GNU C++17,1335,A,1335A
168411726,2022-08-15 18:42:00,Mohammed--alhefawe,Expression,GNU C++17,479,A,479A
168417216,2022-08-15 19:35:00,Mohammed--alhefawe,GravityFlip,GNU C++17,405,A,405A
108832549,2021-03-01 22:30:00,OmranMk,Watermelon,GNU C++17,4,A,4A
108834701,2021-03-01 23:22:00,OmranMk,WayTooLongWords,GNU C++17,71,A,71A
109305406,2021-03-07 07:45:00,OmranMk,Coins,GNU C++17,1061,A,1061A
109449144,2021-03-09 11:17:00,OmranMk,IntegerSequenceDividing,GNU C++17,1102,A,1102A
109989025,2021-03-14 20:22:00,OmranMk,Coins,GNU C++17,1061,A,1061A
109989080,2021-03-14 20:23:00,OmranMk,Coins,GNU C++17,1061,A,1061A
155006014,2022-04-26 10:06:00,OmranMk,VanyaandFence,GNU C++17,677,A,677A
155007158,2022-04-26 10:24:00,OmranMk,AntonandDanik,GNU C++17,734,A,734A
155086276,2022-04-27 07:10:00,OmranMk,BearandBigBrother,GNU C++17,791,A,791A
155086715,2022-04-27 07:20:00,OmranMk,Team,GNU C++17,231,A,231A
155087848,2022-04-27 07:45:00,OmranMk,BeautifulMatrix,GNU C++17,263,A,263A
155088640,2022-04-27 08:02:00,OmranMk,BeautifulMatrix,GNU C++17,263,A,263A
155171224,2022-04-28 06:43:00,OmranMk,GravityFlip,GNU C++17,405,A,405A
155173790,2022-04-28 07:35:00,OmranMk,PetyaandStrings,GNU C++17,112,A,112A
155267651,2022-04-29 10:45:00,OmranMk,BoyorGirl,GNU C++17,236,A,236A
155270591,2022-04-29 11:28:00,OmranMk,Word,GNU C++17,59,A,59A
155271327,2022-04-29 11:40:00,OmranMk,Magnets,GNU C++17,344,A,344A
155271655,2022-04-29 11:45:00,OmranMk,Magnets,GNU C++17,344,A,344A
155271836,2022-04-29 11:48:00,OmranMk,Magnets,GNU C++17,344,A,344A
155274159,2022-04-29 12:23:00,OmranMk,SerejaandDima,GNU C++17,381,A,381A
155451816,2022-04-30 21:33:00,OmranMk,StonesontheTable,GNU C++17,266,A,266A
155453006,2022-04-30 21:54:00,OmranMk,PoliceRecruits,GNU C++17,427,A,427A
155453959,2022-04-30 22:11:00,OmranMk,BlackSquare,GNU C++17,431,A,431A
155459571,2022-05-01 00:15:00,OmranMk,NightattheMuseum,GNU C++17,731,A,731A
155537634,2022-05-02 00:05:00,OmranMk,Games,GNU C++17,268,A,268A
155737568,2022-05-03 11:16:00,OmranMk,BuyaShovel,GNU C++17,732,A,732A
155833686,2022-05-04 13:17:00,OmranMk,Isyourhorseshoeontheotherhoof?,GNU C++17,228,A,228A
155834817,2022-05-04 13:30:00,OmranMk,ColorfulStones(SimplifiedEdition),GNU C++17,265,A,265A
155835709,2022-05-04 13:44:00,OmranMk,DieRoll,GNU C++17,9,A,9A
156015595,2022-05-05 21:05:00,OmranMk,ShaassandOskols,GNU C++17,294,A,294A
156018325,2022-05-05 21:43:00,OmranMk,Juicer,GNU C++17,709,A,709A
156139468,2022-05-06 23:34:00,OmranMk,CarrotCakes,GNU C++17,799,A,799A
156140741,2022-05-06 23:59:00,OmranMk,AntonandLetters,GNU C++17,443,A,443A
156230809,2022-05-07 22:25:00,OmranMk,WayTooLongWords,GNU C++17,71,A,71A
156230906,2022-05-07 22:27:00,OmranMk,WayTooLongWords,GNU C++17,71,A,71A
156231667,2022-05-07 22:40:00,OmranMk,FreeIceCream,GNU C++17,686,A,686A
156232102,2022-05-07 22:49:00,OmranMk,HelpfulMaths,GNU C++17,339,A,339A
156233752,2022-05-07 23:22:00,OmranMk,TeamOlympiad,GNU C++17,490,A,490A
156234302,2022-05-07 23:34:00,OmranMk,NewPassword,GNU C++17,770,A,770A
156364970,2022-05-08 23:56:00,OmranMk,NextRound,GNU C++17,158,A,158A
156365082,2022-05-08 23:59:00,OmranMk,NextRound,GNU C++17,158,A,158A
156365335,2022-05-09 00:06:00,OmranMk,Presents,GNU C++17,136,A,136A
156561804,2022-05-10 00:06:00,OmranMk,LinelandMail,GNU C++17,567,A,567A
156596961,2022-05-10 13:17:00,OmranMk,LinelandMail,GNU C++17,567,A,567A
156597167,2022-05-10 13:20:00,OmranMk,LinelandMail,GNU C++17,567,A,567A
156597477,2022-05-10 13:24:00,OmranMk,LinelandMail,GNU C++17,567,A,567A
156597768,2022-05-10 13:29:00,OmranMk,LinelandMail,GNU C++17,567,A,567A
156599503,2022-05-10 13:51:00,OmranMk,MahmoudandLongestUncommonSubsequence,GNU C++17,766,A,766A
156600162,2022-05-10 14:00:00,OmranMk,MahmoudandLongestUncommonSubsequence,GNU C++17,766,A,766A
156829787,2022-05-11 15:26:00,OmranMk,OathoftheNight'sWatch,GNU C++17,768,A,768A
156830405,2022-05-11 15:33:00,OmranMk,OathoftheNight'sWatch,GNU C++17,768,A,768A
156831836,2022-05-11 15:46:00,OmranMk,Pangram,GNU C++17,520,A,520A
156834908,2022-05-11 16:17:00,OmranMk,Twins,GNU C++17,160,A,160A
156836548,2022-05-11 16:34:00,OmranMk,Keyboard,GNU C++17,474,A,474A
156944605,2022-05-12 20:18:00,OmranMk,EvenOdds,GNU C++17,318,A,318A
156944658,2022-05-12 20:18:00,OmranMk,EvenOdds,GNU C++17,318,A,318A
156947752,2022-05-12 20:55:00,OmranMk,IWannaBetheGuy,GNU C++17,469,A,469A
156949312,2022-05-12 21:13:00,OmranMk,Isitrated?,GNU C++17,807,A,807A
156952169,2022-05-12 21:54:00,OmranMk,OlesyaandRodion,GNU C++17,584,A,584A
156988321,2022-05-13 11:41:00,OmranMk,Football,GNU C++17,43,A,43A
156994276,2022-05-13 13:01:00,OmranMk,Brain'sPhotos,GNU C++17,707,A,707A
157002286,2022-05-13 14:39:00,OmranMk,Dubstep,GNU C++17,208,A,208A
157138770,2022-05-14 12:39:00,OmranMk,ValeraandX,GNU C++17,404,A,404A
157164294,2022-05-14 13:12:00,OmranMk,Arpa’shardexamandMehrdad’snaivecheat,GNU C++17,742,A,742A
157170498,2022-05-14 13:23:00,OmranMk,CalculatingFunction,GNU C++17,486,A,486A
157187701,2022-05-14 14:02:00,OmranMk,TheatreSquare,GNU C++17,1,A,1A
157272320,2022-05-15 10:24:00,OmranMk,AntonandPolyhedrons,GNU C++17,785,A,785A
157272730,2022-05-15 10:28:00,OmranMk,AntonandPolyhedrons,GNU C++17,785,A,785A
157272987,2022-05-15 10:30:00,OmranMk,AntonandPolyhedrons,GNU C++17,785,A,785A
157276932,2022-05-15 11:09:00,OmranMk,Panoramix'sPrediction,GNU C++17,80,A,80A
157277243,2022-05-15 11:12:00,OmranMk,Panoramix'sPrediction,GNU C++17,80,A,80A
157278904,2022-05-15 11:31:00,OmranMk,Panoramix'sPrediction,GNU C++17,80,A,80A
157278970,2022-05-15 11:32:00,OmranMk,Panoramix'sPrediction,GNU C++17,80,A,80A
157299061,2022-05-15 14:29:00,OmranMk,Counterexample,GNU C++17,483,A,483A
157312669,2022-05-15 16:27:00,OmranMk,Counterexample,GNU C++17,483,A,483A
157426782,2022-05-16 22:49:00,OmranMk,GoodNumber,GNU C++17,365,A,365A
157512398,2022-05-17 23:04:00,OmranMk,AlyonaandNumbers,GNU C++17,682,A,682A
157546930,2022-05-18 11:39:00,OmranMk,HelpVasilisatheWise2,GNU C++17,143,A,143A
157636515,2022-05-19 11:12:00,OmranMk,ChewbaсcaandNumber,GNU C++17,514,A,514A
157778234,2022-05-20 10:43:00,OmranMk,Snacktower,GNU C++17,767,A,767A
157879290,2022-05-21 11:41:00,OmranMk,KseniaandPanScales,GNU C++17,382,A,382A
157972430,2022-05-22 12:02:00,OmranMk,LaunchofCollider,GNU C++17,699,A,699A
158139044,2022-05-23 14:37:00,OmranMk,Dominopiling,GNU C++17,50,A,50A
158258353,2022-05-24 06:07:00,OmranMk,Bit++,GNU C++17,282,A,282A
158394638,2022-05-25 16:49:00,OmranMk,StringTask,GNU C++17,118,A,118A
158504610,2022-05-26 11:07:00,OmranMk,WordCapitalization,GNU C++17,281,A,281A
158611431,2022-05-27 15:32:00,OmranMk,Football,GNU C++17,96,A,96A
158745930,2022-05-28 20:28:00,OmranMk,Elephant,GNU C++17,617,A,617A
158817896,2022-05-29 19:44:00,OmranMk,YoungPhysicist,GNU C++17,69,A,69A
158818676,2022-05-29 19:55:00,OmranMk,SoldierandBananas,GNU C++17,546,A,546A
158819152,2022-05-29 20:03:00,OmranMk,WrongSubtraction,GNU C++17,977,A,977A
158904613,2022-05-30 21:37:00,OmranMk,NearlyLuckyNumber,GNU C++17,110,A,110A
158965507,2022-05-31 13:40:00,OmranMk,IQTest,GNU C++17,287,A,287A
158967623,2022-05-31 14:07:00,OmranMk,Chatroom,GNU C++17,58,A,58A
158968183,2022-05-31 14:09:00,OmranMk,Chatroom,GNU C++17,58,A,58A
159079440,2022-05-31 19:40:00,OmranMk,Translation,GNU C++17,41,A,41A
159146144,2022-06-01 12:48:00,OmranMk,BeautifulYear,GNU C++17,271,A,271A
159148272,2022-06-01 13:10:00,OmranMk,LuckyDivision,GNU C++17,122,A,122A
159271813,2022-06-02 19:19:00,OmranMk,GeorgeandAccommodation,GNU C++17,467,A,467A
159272300,2022-06-02 19:24:00,OmranMk,InSearchofanEasyProblem,GNU C++17,1030,A,1030A
159272913,2022-06-02 19:31:00,OmranMk,HQ9+,GNU C++17,133,A,133A
159312178,2022-06-03 09:03:00,OmranMk,Hulk,GNU C++17,705,A,705A
159490762,2022-06-04 17:56:00,OmranMk,YaroslavandPermutations,GNU C++17,296,A,296A
159556734,2022-06-05 16:41:00,OmranMk,SnowFootprints,GNU C++17,298,A,298A
159667772,2022-06-06 23:09:00,OmranMk,Expression,GNU C++17,479,A,479A
159704939,2022-06-07 12:48:00,OmranMk,Insomniacure,GNU C++17,148,A,148A
159706621,2022-06-07 13:11:00,OmranMk,cAPSlOCK,GNU C++17,131,A,131A
159953882,2022-06-08 18:58:00,OmranMk,Dragons,GNU C++17,230,A,230A
160047157,2022-06-09 21:49:00,OmranMk,HittheLottery,GNU C++17,996,A,996A
160068168,2022-06-10 14:00:00,OmranMk,BowWowandtheTimetable,GNU C++17,1204,A,1204A
160071452,2022-06-10 14:43:00,OmranMk,BalancedRatingChanges,GNU C++17,1237,A,1237A
160072419,2022-06-10 14:55:00,OmranMk,BalancedRatingChanges,GNU C++17,1237,A,1237A
160092985,2022-06-10 19:30:00,OmranMk,MountainScenery,GNU C++17,218,A,218A
160096514,2022-06-10 19:48:00,OmranMk,PolothePenguinandSegments,GNU C++17,289,A,289A
160096818,2022-06-10 19:49:00,OmranMk,PolothePenguinandSegments,GNU C++17,289,A,289A
160109872,2022-06-10 20:18:00,OmranMk,RaisingBacteria,GNU C++17,579,A,579A
160119966,2022-06-10 20:45:00,OmranMk,DiceTower,GNU C++17,225,A,225A
160223212,2022-06-11 21:58:00,OmranMk,LittlePonyandCrystalMine,GNU C++17,454,A,454A
160370042,2022-06-12 20:57:00,OmranMk,BustoUdayland,GNU C++17,711,A,711A
160454971,2022-06-13 20:59:00,OmranMk,Cookies,GNU C++17,129,A,129A
160480334,2022-06-14 08:32:00,OmranMk,Triangularnumbers,GNU C++17,47,A,47A
160481487,2022-06-14 08:54:00,OmranMk,LifeWithoutZeros,GNU C++17,75,A,75A
160742032,2022-06-15 17:24:00,OmranMk,ToyArmy,GNU C++17,84,A,84A
160743309,2022-06-15 17:42:00,OmranMk,CombinationLock,GNU C++17,540,A,540A
160821917,2022-06-16 17:09:00,OmranMk,DigitalCounter,GNU C++17,495,A,495A
160890118,2022-06-16 20:14:00,OmranMk,VitaliyandPie,GNU C++17,525,A,525A
160891034,2022-06-16 20:20:00,OmranMk,VitaliyandPie,GNU C++17,525,A,525A
160891102,2022-06-16 20:21:00,OmranMk,VitaliyandPie,GNU C++17,525,A,525A
160987651,2022-06-17 21:08:00,OmranMk,Autocomplete,GNU C++17,53,A,53A
161129695,2022-06-18 22:13:00,OmranMk,Joysticks,GNU C++17,651,A,651A
161210132,2022-06-19 13:47:00,OmranMk,VasyaandDigitalRoot,GNU C++17,355,A,355A
161265562,2022-06-20 05:23:00,OmranMk,Parallelepiped,GNU C++17,224,A,224A
161401987,2022-06-21 17:38:00,OmranMk,LalaLandandAppleTrees,GNU C++17,558,A,558A
161506648,2022-06-22 23:16:00,OmranMk,UltraFastMathematician,GNU C++17,61,A,61A
161589844,2022-06-23 23:49:00,OmranMk,GoodNumber,GNU C++17,365,A,365A
161589897,2022-06-23 23:50:00,OmranMk,GoodNumber,GNU C++17,365,A,365A
161589957,2022-06-23 23:52:00,OmranMk,ApplemanandEasyTask,GNU C++17,462,A,462A
161658869,2022-06-24 19:22:00,OmranMk,Array,GNU C++17,300,A,300A
161700999,2022-06-25 10:12:00,OmranMk,RoundHouse,GNU C++17,659,A,659A
161841608,2022-06-26 11:13:00,OmranMk,GroupofStudents,GNU C++17,357,A,357A
161917912,2022-06-27 09:32:00,OmranMk,Businesstrip,GNU C++17,149,A,149A
161920038,2022-06-27 10:02:00,OmranMk,DrazilandDate,GNU C++17,515,A,515A
162013453,2022-06-28 09:05:00,OmranMk,ApplemanandEasyTask,GNU C++17,462,A,462A
162013868,2022-06-28 09:10:00,OmranMk,Interview,GNU C++17,631,A,631A
162212618,2022-06-29 10:28:00,OmranMk,Exam,GNU C++17,534,A,534A
162310261,2022-06-30 10:25:00,OmranMk,MultiplicationTable,GNU C++17,577,A,577A
162417558,2022-07-01 12:10:00,OmranMk,Alena'sSchedule,GNU C++17,586,A,586A
162525521,2022-07-02 12:06:00,OmranMk,CaseoftheZerosandOnes,GNU C++17,556,A,556A
162525610,2022-07-02 12:07:00,OmranMk,CaseoftheZerosandOnes,GNU C++17,556,A,556A
162631014,2022-07-03 13:34:00,OmranMk,Laptops,GNU C++17,456,A,456A
162721847,2022-07-04 11:42:00,OmranMk,"Lefthanders,RighthandersandAmbidexters",GNU C++17,950,A,950A
162880531,2022-07-05 13:21:00,OmranMk,VasyatheHipster,GNU C++17,581,A,581A
162881434,2022-07-05 13:33:00,OmranMk,TheNewYear:MeetingFriends,GNU C++17,723,A,723A
162882575,2022-07-05 13:47:00,OmranMk,FoxAndSnake,GNU C++17,510,A,510A
162883517,2022-07-05 13:58:00,OmranMk,Greg'sWorkout,GNU C++17,255,A,255A
162884838,2022-07-05 14:12:00,OmranMk,OnedimensionalJapaneseCrossword,GNU C++17,721,A,721A
162885777,2022-07-05 14:22:00,OmranMk,SecondOrderStatistics,GNU C++17,22,A,22A
162888447,2022-07-05 14:49:00,OmranMk,PlayingwithDice,GNU C++17,378,A,378A
162949855,2022-07-06 05:16:00,OmranMk,AGoodContest,GNU C++17,681,A,681A
162951896,2022-07-06 05:51:00,OmranMk,FarRelative’sBirthdayCake,GNU C++17,629,A,629A
163022205,2022-07-06 19:02:00,OmranMk,RomaandLuckyNumbers,GNU C++17,262,A,262A
163022645,2022-07-06 19:07:00,OmranMk,LevkoandTable,GNU C++17,361,A,361A
163023845,2022-07-06 19:23:00,OmranMk,MashmokhandLights,GNU C++17,415,A,415A
163044827,2022-07-07 01:03:00,OmranMk,Wizards'Duel,GNU C++17,591,A,591A
163154142,2022-07-08 02:41:00,OmranMk,Coder,GNU C++17,384,A,384A
163154290,2022-07-08 02:45:00,OmranMk,SummerCamp,GNU C++17,672,A,672A
163331245,2022-07-09 05:12:00,OmranMk,SoftDrinking,GNU C++17,151,A,151A
163332056,2022-07-09 05:27:00,OmranMk,GukiZandContest,GNU C++17,551,A,551A
163446860,2022-07-10 12:55:00,OmranMk,Cards,GNU C++17,701,A,701A
163449670,2022-07-10 13:30:00,OmranMk,PetyaandCountryside,GNU C++17,66,B,66B
163449737,2022-07-10 13:31:00,OmranMk,PetyaandCountryside,GNU C++17,66,B,66B
163451410,2022-07-10 13:54:00,OmranMk,PetyaandJava,GNU C++17,66,A,66A
163637215,2022-07-11 10:17:00,OmranMk,BearandFindingCriminals,GNU C++17,680,B,680B
163640091,2022-07-11 10:40:00,OmranMk,BurglarandMatches,GNU C++17,16,B,16B
163766683,2022-07-12 11:42:00,OmranMk,FancyFence,GNU C++17,270,A,270A
163769621,2022-07-12 12:05:00,OmranMk,SumofDigits,GNU C++17,102,B,102B
163771346,2022-07-12 12:18:00,OmranMk,SumofDigits,GNU C++17,102,B,102B
163771524,2022-07-12 12:19:00,OmranMk,SumofDigits,GNU C++17,102,B,102B
163772748,2022-07-12 12:30:00,OmranMk,SumofDigits,GNU C++17,102,B,102B
163773104,2022-07-12 12:33:00,OmranMk,SumofDigits,GNU C++17,102,B,102B
163774002,2022-07-12 12:40:00,OmranMk,CaisaandPylons,GNU C++17,463,B,463B
163999808,2022-07-13 10:37:00,OmranMk,EffectiveApproach,GNU C++17,227,B,227B
164000143,2022-07-13 10:39:00,OmranMk,EffectiveApproach,GNU C++17,227,B,227B
164093088,2022-07-14 06:16:00,OmranMk,Decoding,GNU C++17,746,B,746B
164094291,2022-07-14 06:33:00,OmranMk,EasterEggs,GNU C++17,78,B,78B
164096495,2022-07-14 07:08:00,OmranMk,Coins,GNU C++17,47,B,47B
164231052,2022-07-15 11:04:00,OmranMk,LovelyPalindromes,GNU C++17,688,B,688B
164237806,2022-07-15 12:05:00,OmranMk,SorttheArray,GNU C++17,451,B,451B
164441559,2022-07-16 15:10:00,OmranMk,ColorfulField,GNU C++17,79,B,79B
164444273,2022-07-16 15:36:00,OmranMk,MahmoudandaTriangle,GNU C++17,766,B,766B
164648976,2022-07-17 22:10:00,OmranMk,QueueattheSchool,GNU C++17,266,B,266B
164744466,2022-07-18 17:49:00,OmranMk,XeniaandRingroad,GNU C++17,339,B,339B
164876277,2022-07-19 12:42:00,OmranMk,StudentsandShoelaces,GNU C++17,129,B,129B
164876470,2022-07-19 12:44:00,OmranMk,StudentsandShoelaces,GNU C++17,129,B,129B
164982316,2022-07-20 11:14:00,OmranMk,Keyboard,GNU C++17,88,B,88B
165224041,2022-07-21 20:33:00,OmranMk,CalculatingFunction,GNU C++17,486,A,486A
165275298,2022-07-22 09:56:00,OmranMk,KefaandFirstSteps,GNU C++17,580,A,580A
165283740,2022-07-22 11:20:00,OmranMk,DreamoonandWiFi,GNU C++17,476,B,476B
165416127,2022-07-23 13:59:00,OmranMk,FilyaandHomework,GNU C++17,714,B,714B
165604906,2022-07-24 23:30:00,OmranMk,Flag,GNU C++17,16,A,16A
165647688,2022-07-25 11:53:00,OmranMk,InnaandNewMatrixofCandies,GNU C++17,400,B,400B
165649294,2022-07-25 12:09:00,OmranMk,Taxi,GNU C++17,158,B,158B
165745880,2022-07-26 09:08:00,OmranMk,President'sOffice,GNU C++17,6,B,6B
165827356,2022-07-27 00:18:00,OmranMk,Escape,GNU C++17,148,B,148B
166044417,2022-07-28 22:26:00,OmranMk,Drinks,GNU C++17,200,B,200B
166117923,2022-07-29 16:11:00,OmranMk,DivisibilityProblem,GNU C++17,1328,A,1328A
166124164,2022-07-29 16:53:00,OmranMk,IQtest,GNU C++17,25,A,25A
166203503,2022-07-30 11:33:00,OmranMk,I_love_\%username\%,GNU C++17,155,A,155A
166204356,2022-07-30 11:41:00,OmranMk,NewYearandHurry,GNU C++17,750,A,750A
166205827,2022-07-30 11:56:00,OmranMk,AmusingJoke,GNU C++17,141,A,141A
166372909,2022-07-31 17:49:00,OmranMk,YetAnotherTwoIntegersProblem,GNU C++17,1409,A,1409A
166381012,2022-07-31 18:12:00,OmranMk,RemoveSmallest,GNU C++17,1399,A,1399A
166616226,2022-08-01 21:55:00,OmranMk,SumofRoundNumbers,GNU C++17,1352,A,1352A
166616633,2022-08-01 22:00:00,OmranMk,ShortSubstrings,GNU C++17,1367,A,1367A
166661898,2022-08-02 10:24:00,OmranMk,DoNotBeDistracted!,GNU C++17,1520,A,1520A
166765287,2022-08-03 08:17:00,OmranMk,SpyDetected!,GNU C++17,1512,A,1512A
166883564,2022-08-04 09:41:00,OmranMk,VanyaandLanterns,GNU C++17,492,B,492B
167132971,2022-08-05 19:44:00,OmranMk,CheapTravel,GNU C++17,466,A,466A
167193186,2022-08-06 11:02:00,OmranMk,Postcardsandphotos,GNU C++17,137,A,137A
167446802,2022-08-07 22:52:00,OmranMk,LittleElephantandRozdil,GNU C++17,205,A,205A
167480646,2022-08-08 09:49:00,OmranMk,InitialBet,GNU C++17,478,A,478A
167676759,2022-08-09 22:28:00,OmranMk,TavasandNafas,GNU C++17,535,A,535A
167798526,2022-08-10 23:03:00,OmranMk,Reconnaissance2,GNU C++17,34,A,34A
170460933,2022-09-01 12:04:00,OmranMk,Plugin,GNU C++17,81,A,81A
199833758,2023-03-30 17:01:00,OmranMk,MinimumVariedNumber,GNU C++17,1714,C,1714C
199848876,2023-03-30 18:30:00,OmranMk,PermutationValue,GNU C++17,1743,B,1743B
199851477,2023-03-30 18:47:00,OmranMk,QAQ,GNU C++17,894,A,894A
199858729,2023-03-30 19:44:00,OmranMk,OneandTwo,GNU C++17,1788,A,1788A
199863247,2023-03-30 20:21:00,OmranMk,KuriyamaMirai'sStones,GNU C++17,433,B,433B
199898875,2023-03-31 05:12:00,OmranMk,KuriyamaMirai'sStones,GNU C++17,433,B,433B
199899260,2023-03-31 05:21:00,OmranMk,KuriyamaMirai'sStones,GNU C++17,433,B,433B
199902128,2023-03-31 06:29:00,OmranMk,GamingForces,GNU C++17,1792,A,1792A
199903921,2023-03-31 07:08:00,OmranMk,StandupComedian,GNU C++17,1792,B,1792B
199903956,2023-03-31 07:08:00,OmranMk,StandupComedian,GNU C++17,1792,B,1792B
199906021,2023-03-31 07:51:00,OmranMk,NegativesandPositives,GNU C++17,1791,E,1791E
199907530,2023-03-31 08:18:00,OmranMk,RemovePrefix,GNU C++17,1714,B,1714B
199908652,2023-03-31 08:36:00,OmranMk,RemovePrefix,GNU C++17,1714,B,1714B
199937613,2023-03-31 14:23:00,OmranMk,TaisiaandDice,GNU C++17,1790,B,1790B
199939672,2023-03-31 14:43:00,OmranMk,RegularBracketSequence,GNU C++17,26,B,26B
