#,When,Who,Problem_name,Number,Character
208072224,Jun/01/2023 18:13,kinannotfound,Dreaming of Freedom,1826,C
208071611,Jun/01/2023 18:07,kinannotfound,Dreaming of Freedom,1826,C
207997713,May/31/2023 22:42,kinannotfound,The least round way,2,B
207833115,May/30/2023 11:50,kinannotfound,Build Permutation,1713,C
207825545,May/30/2023 10:17,kinannotfound,Build Permutation,1713,C
207798333,May/29/2023 23:52,kinannotfound,Build Permutation,1713,C
207797688,May/29/2023 23:38,kinannotfound,Build Permutation,1713,C
207760284,May/29/2023 16:17,kinannotfound,Copil Copac Draws Trees,1831,C
207756163,May/29/2023 15:41,kinannotfound,Copil Copac Draws Trees,1831,C
207679400,May/28/2023 22:05,kinannotfound,Array merging,1831,B
207598541,May/28/2023 17:51,kinannotfound,Twin Permutations,1831,A
207565797,May/28/2023 15:02,kinannotfound,Boredom,455,A
207565629,May/28/2023 15:01,kinannotfound,Boredom,455,A
207512056,May/27/2023 23:32,kinannotfound,Don't Blame Me,1829,H
207500356,May/27/2023 20:46,kinannotfound,Comparison String,1837,B
207475974,May/27/2023 16:49,kinannotfound,Stupid Submissions,101972,E
207347352,May/26/2023 15:01,kinannotfound,Split the Number,101810,I
207239892,May/25/2023 18:57,kinannotfound,Comparison String,1837,B
207221554,May/25/2023 18:32,kinannotfound,Best Binary String,1837,C
207164776,May/25/2023 17:41,kinannotfound,Grasshopper on a Line,1837,A
206980640,May/23/2023 21:28,kinannotfound,Minimum Sum of Array,101810,F
206980081,May/23/2023 21:22,kinannotfound,Minimum Sum of Array,101810,F
206860240,May/22/2023 18:59,kinannotfound,Ksyusha and Chinchilla,1833,G
206859867,May/22/2023 18:56,kinannotfound,Ksyusha and Chinchilla,1833,G
206859547,May/22/2023 18:53,kinannotfound,Ksyusha and Chinchilla,1833,G
206858946,May/22/2023 18:47,kinannotfound,Ksyusha and Chinchilla,1833,G
206766939,May/21/2023 20:37,kinannotfound,Fools and Roads,191,C
206671741,May/20/2023 21:02,kinannotfound,Round Dance,1833,E
206665617,May/20/2023 19:54,kinannotfound,Vlad Building Beautiful Array,1833,C
206664667,May/20/2023 19:43,kinannotfound,Restore the Weather,1833,B
206662350,May/20/2023 19:16,kinannotfound,Musical Puzzle,1833,A
206574622,May/20/2023 02:11,kinannotfound,H. Don’t Ever Ask a Girl for her Codeforces Account,101801,H
206312609,May/18/2023 11:13,kinannotfound,LCM Problem,1389,A
206311600,May/18/2023 11:00,kinannotfound,System of Equations,214,A
206311282,May/18/2023 10:56,kinannotfound,Two gram,977,B
206310597,May/18/2023 10:48,kinannotfound,Stone Game,1538,A
206309924,May/18/2023 10:40,kinannotfound,Favorite Sequence,1462,A
206308381,May/18/2023 10:23,kinannotfound,Casimir's String Solitaire,1579,A
206306734,May/18/2023 10:04,kinannotfound,Military Problem,1006,E
206304264,May/18/2023 09:34,kinannotfound,Dynamic Diameter,102694,B
206284143,May/18/2023 01:36,kinannotfound,Three Paths on a Tree,1294,F
206283723,May/18/2023 01:20,kinannotfound,Three Paths on a Tree,1294,F
206283236,May/18/2023 01:04,kinannotfound,Three Paths on a Tree,1294,F
206283042,May/18/2023 00:57,kinannotfound,Three Paths on a Tree,1294,F
206282025,May/18/2023 00:26,kinannotfound,Three Paths on a Tree,1294,F
206132728,May/16/2023 19:16,kinannotfound,Grid Reconstruction,1816,B
206132363,May/16/2023 19:12,kinannotfound,Ian Visits Mary,1816,A
206102771,May/16/2023 17:58,kinannotfound,Military Problem,1006,E
206020972,May/15/2023 21:43,kinannotfound,Enemy is weak,61,E
205976433,May/15/2023 14:53,kinannotfound,LuoTianyi and the Show,1825,C
205954039,May/15/2023 10:50,kinannotfound,Counting Orders,1828,C
205911450,May/14/2023 21:35,kinannotfound,Permutation Swap,1828,B
205846468,May/14/2023 17:38,kinannotfound,Divisible Array,1828,A
205835010,May/14/2023 16:06,kinannotfound,Contrast Value,1832,C
205609533,May/12/2023 19:15,kinannotfound,Maximum Sum,1832,B
205551059,May/12/2023 17:38,kinannotfound,New Palindrome,1832,A
205538067,May/12/2023 15:57,kinannotfound,Hits Different,1829,G
205362765,May/10/2023 21:47,kinannotfound,LuoTianyi and the Table,1825,B
205346420,May/10/2023 18:38,kinannotfound,LuoTianyi and the Palindrome String,1825,A
205156287,May/08/2023 21:41,kinannotfound,Forever Winter,1829,F
205009936,May/07/2023 20:27,kinannotfound,Product of Three Numbers,1294,C
204972593,May/07/2023 15:35,kinannotfound,The Lakes,1829,E
204963782,May/07/2023 14:18,kinannotfound,Gold Rush,1829,D
204961370,May/07/2023 13:56,kinannotfound,Mr. Perfectly Fine,1829,C
204960462,May/07/2023 13:47,kinannotfound,Blank Space,1829,B
204960144,May/07/2023 13:44,kinannotfound,Love Story,1829,A
204470783,May/04/2023 18:06,kinannotfound,Permutation,1701,B
204436876,May/04/2023 12:58,kinannotfound,Optimal Path,1700,A
204428271,May/04/2023 11:26,kinannotfound,Gambling,1692,H
204298565,May/03/2023 01:27,kinannotfound,Gambling,1692,H
204009242,Apr/30/2023 10:00,kinannotfound,Indivisible,1818,B
203918085,Apr/29/2023 17:48,kinannotfound,Politics,1818,A
203842190,Apr/28/2023 22:50,kinannotfound,Sum of Cubes,1490,C
203781672,Apr/28/2023 12:19,kinannotfound,Super Permutation,1822,D
203712639,Apr/27/2023 19:22,kinannotfound,Sort with Step,1823,B
203709298,Apr/27/2023 19:10,kinannotfound,A characteristic,1823,A
203582403,Apr/26/2023 20:28,kinannotfound,Buy a Shovel,732,A
203567380,Apr/26/2023 17:52,kinannotfound,Dynamic Diameter,102694,B
203566759,Apr/26/2023 17:45,kinannotfound,Dynamic Diameter,102694,B
203564498,Apr/26/2023 17:23,kinannotfound,Dynamic Diameter,102694,B
203544944,Apr/26/2023 14:30,kinannotfound,Circumference of a Tree,102694,A
203543288,Apr/26/2023 14:15,kinannotfound,Odd Divisor,1475,A
203542290,Apr/26/2023 14:05,kinannotfound,Odd Divisor,1475,A
203540693,Apr/26/2023 13:47,kinannotfound,Gardening Friends,1822,F
203528600,Apr/26/2023 11:10,kinannotfound,Gardening Friends,1822,F
203491392,Apr/26/2023 00:19,kinannotfound,Gardening Friends,1822,F
203485315,Apr/25/2023 22:57,kinannotfound,Black and White Stripe,1690,D
203484819,Apr/25/2023 22:52,kinannotfound,Black and White Stripe,1690,D
203479019,Apr/25/2023 21:51,kinannotfound,Black and White Stripe,1690,D
203478191,Apr/25/2023 21:43,kinannotfound,Black and White Stripe,1690,D
203476372,Apr/25/2023 21:24,kinannotfound,Black and White Stripe,1690,D
203476095,Apr/25/2023 21:21,kinannotfound,Black and White Stripe,1690,D
203475832,Apr/25/2023 21:19,kinannotfound,Black and White Stripe,1690,D
203472678,Apr/25/2023 20:50,kinannotfound,Super Permutation,1822,D
203296153,Apr/24/2023 18:19,kinannotfound,Bun Lover,1822,C
203265694,Apr/24/2023 17:45,kinannotfound,Karina and Array,1822,B
203261051,Apr/24/2023 17:41,kinannotfound,TubeTube Feed,1822,A
203256580,Apr/24/2023 17:21,kinannotfound,MAX MEX Cut,1566,C
202864314,Apr/20/2023 18:47,kinannotfound,Maximal Intersection,1029,C
202813454,Apr/20/2023 15:46,kinannotfound,Tit for Tat,1516,A
202787708,Apr/20/2023 10:52,kinannotfound,Marvolo Gaunt's Ring,855,B
202762503,Apr/20/2023 02:29,kinannotfound,Marvolo Gaunt's Ring,855,B
202753986,Apr/20/2023 00:01,kinannotfound,Required Remainder,1374,A
202750006,Apr/19/2023 23:06,kinannotfound,Restoring Three Numbers,1154,A
202737359,Apr/19/2023 20:19,kinannotfound,QAQ,894,A
202737294,Apr/19/2023 20:18,kinannotfound,QAQ,894,A
202698676,Apr/19/2023 14:20,kinannotfound,Move Brackets,1374,C
202696991,Apr/19/2023 14:00,kinannotfound,Two Groups,1747,A
202696408,Apr/19/2023 13:51,kinannotfound,Stand up Comedian,1792,B
202694281,Apr/19/2023 13:24,kinannotfound,Stand up Comedian,1792,B
202661842,Apr/19/2023 02:39,kinannotfound,GamingForces,1792,A
202645376,Apr/18/2023 22:30,kinannotfound,Constructive Problem,1820,C
202595184,Apr/18/2023 14:17,kinannotfound,JoJo's Incredible Adventures,1820,B
202578147,Apr/18/2023 11:08,kinannotfound,JoJo's Incredible Adventures,1820,B
202577614,Apr/18/2023 11:01,kinannotfound,JoJo's Incredible Adventures,1820,B
202555688,Apr/18/2023 05:17,kinannotfound,JoJo's Incredible Adventures,1820,B
202417884,Apr/17/2023 01:01,kinannotfound,Short Task,1512,G
202413955,Apr/17/2023 00:05,kinannotfound,Corrupted Array,1512,D
202405876,Apr/16/2023 22:22,kinannotfound,Corrupted Array,1512,D
202388023,Apr/16/2023 19:07,kinannotfound,A B Palindrome,1512,C
202382611,Apr/16/2023 18:07,kinannotfound,A B Palindrome,1512,C
202377977,Apr/16/2023 17:22,kinannotfound,Almost Rectangle,1512,B
202376950,Apr/16/2023 17:12,kinannotfound,Almost Rectangle,1512,B
202302346,Apr/16/2023 00:49,kinannotfound,Yura's New Name,1820,A
202256079,Apr/15/2023 17:39,kinannotfound,Make It Permutation,1810,C
202246409,Apr/15/2023 16:22,kinannotfound,Make It Permutation,1810,C
202234416,Apr/15/2023 14:54,kinannotfound,Candies,1810,B
202121519,Apr/15/2023 00:12,kinannotfound,Beautiful Sequence,1810,A
202072615,Apr/14/2023 16:41,kinannotfound,Double Profiles,154,C
202053208,Apr/14/2023 14:12,kinannotfound,Collective Mindsets (easy),690,A1
202051228,Apr/14/2023 13:55,kinannotfound,Lunar New Year and a Wander,1106,D
202049229,Apr/14/2023 13:38,kinannotfound,Scuza,1742,E
202042180,Apr/14/2023 12:29,kinannotfound,Long Number,1157,B
202038376,Apr/14/2023 11:49,kinannotfound,Fake News (easy),802,G
202036511,Apr/14/2023 11:30,kinannotfound,Cormen     The Best Friend Of a Man,732,B
202008945,Apr/14/2023 05:28,kinannotfound,Parkway Walk,1697,A
202008523,Apr/14/2023 05:19,kinannotfound,String LCM,1473,B
201970182,Apr/13/2023 20:13,kinannotfound,Boxes Packing,903,C
201965778,Apr/13/2023 19:29,kinannotfound,New Year Permutation,500,B
201965672,Apr/13/2023 19:28,kinannotfound,New Year Permutation,500,B
201931133,Apr/13/2023 15:04,kinannotfound,New Year Transportation,500,A
201926913,Apr/13/2023 14:33,kinannotfound,New Year Transportation,500,A
201907593,Apr/13/2023 11:30,kinannotfound,Lucky Numbers,1808,A
201905090,Apr/13/2023 11:00,kinannotfound,Lucky Numbers,1808,A
201904925,Apr/13/2023 10:59,kinannotfound,Playing in a Casino,1808,B
201857771,Apr/12/2023 19:28,kinannotfound,Air Conditioners,1547,E
201842304,Apr/12/2023 17:19,kinannotfound,Air Conditioners,1547,E
201758143,Apr/12/2023 01:18,kinannotfound,Air Conditioners,1547,E
201757979,Apr/12/2023 01:15,kinannotfound,Air Conditioners,1547,E
201720236,Apr/11/2023 00:36,kinannotfound,Binary Deque,1692,E
201553323,Apr/09/2023 19:36,kinannotfound,2^Sort,1692,G
201550980,Apr/09/2023 19:30,kinannotfound,2^Sort,1692,G
201472891,Apr/09/2023 16:34,kinannotfound,3SUM,1692,F
201470534,Apr/09/2023 16:12,kinannotfound,All Distinct,1692,B
201464498,Apr/09/2023 15:12,kinannotfound,The Clock,1692,D
201461407,Apr/09/2023 14:45,kinannotfound,Where's the Bishop?,1692,C
201456181,Apr/09/2023 14:02,kinannotfound,Marathon,1692,A
201455453,Apr/09/2023 13:56,kinannotfound,Even Array,1367,B
201357001,Apr/08/2023 20:11,kinannotfound,Required Remainder,1374,A
201345221,Apr/08/2023 18:59,kinannotfound,Odd Divisor,1475,A
201342854,Apr/08/2023 18:55,kinannotfound,Odd Divisor,1475,A
201250594,Apr/08/2023 14:48,kinannotfound,Unmysterious Language,1812,J
201250086,Apr/08/2023 14:44,kinannotfound,Are You a Robot?,1812,A
201249881,Apr/08/2023 14:42,kinannotfound,Mishka and Game,703,A
201245528,Apr/08/2023 13:59,kinannotfound,Ilya and Bank Account,313,A
201244453,Apr/08/2023 13:48,kinannotfound,Interesting drink,706,B
201243356,Apr/08/2023 13:36,kinannotfound,Interesting drink,706,B
201184060,Apr/07/2023 23:04,kinannotfound,Taisia and Dice,1790,B
201125875,Apr/07/2023 13:39,kinannotfound,Long Legs,1814,B
201125309,Apr/07/2023 13:33,kinannotfound,Long Legs,1814,B
201117608,Apr/07/2023 12:11,kinannotfound,Long Legs,1814,B
201117137,Apr/07/2023 12:06,kinannotfound,Long Legs,1814,B
201014901,Apr/06/2023 18:15,kinannotfound,Coins,1814,A
200978495,Apr/06/2023 16:26,kinannotfound,Sereja and Dima,381,A
200965884,Apr/06/2023 14:28,kinannotfound,Team Olympiad,490,A
200964876,Apr/06/2023 14:17,kinannotfound,Balanced Array,1343,B
200962543,Apr/06/2023 13:53,kinannotfound,Spy Detected!,1512,A
200961548,Apr/06/2023 13:43,kinannotfound,Holiday Of Equality,758,A
200961122,Apr/06/2023 13:38,kinannotfound,Short Substrings,1367,A
200960637,Apr/06/2023 13:33,kinannotfound,Choosing Teams,432,A
200959580,Apr/06/2023 13:19,kinannotfound,Design Tutorial: Learn from Math,472,A
200958941,Apr/06/2023 13:11,kinannotfound,Design Tutorial: Learn from Math,472,A
200957666,Apr/06/2023 12:54,kinannotfound,Soft Drinking,151,A
200956764,Apr/06/2023 12:43,kinannotfound,Yet Another Two Integers Problem,1409,A
200954078,Apr/06/2023 12:09,kinannotfound,Restore the Array,1811,C
200880423,Apr/05/2023 17:09,kinannotfound,Insert Digit,1811,A
200691398,Apr/04/2023 17:18,kinannotfound,GCD Partition,1780,B
200689012,Apr/04/2023 16:56,kinannotfound,Hayato and School,1780,A
200298889,Apr/01/2023 22:30,kinannotfound,Password,126,B
200297871,Apr/01/2023 22:16,kinannotfound,Password,126,B
199972483,Mar/31/2023 17:52,kinannotfound,Calculating Function,486,A
199939486,Mar/31/2023 14:41,kinannotfound,Password,126,B
199939172,Mar/31/2023 14:38,kinannotfound,Password,126,B
199927133,Mar/31/2023 12:31,kinannotfound,Password,126,B
199926746,Mar/31/2023 12:27,kinannotfound,Password,126,B
199924842,Mar/31/2023 12:06,kinannotfound,Password,126,B
199822926,Mar/30/2023 15:36,kinannotfound,Good Substrings,271,D
199689202,Mar/29/2023 14:23,kinannotfound,Badge,1020,B
198906259,Mar/24/2023 10:30,kinannotfound,Points on Plane,1809,B
198869499,Mar/24/2023 01:01,kinannotfound,Reachable Numbers,1157,A
198802448,Mar/23/2023 18:42,kinannotfound,Points on Plane,1809,B
198780150,Mar/23/2023 18:08,kinannotfound,Garland,1809,A
198733137,Mar/23/2023 14:49,kinannotfound,Love Triangle,939,A
198733021,Mar/23/2023 14:48,kinannotfound,Love Triangle,939,A
198732597,Mar/23/2023 14:44,kinannotfound,Love Triangle,939,A
198377142,Mar/20/2023 18:45,kinannotfound,Find and Replace,1807,C
198330894,Mar/20/2023 11:27,kinannotfound,Interview,1807,E
198330706,Mar/20/2023 11:26,kinannotfound,Interview,1807,E
198325316,Mar/20/2023 10:33,kinannotfound,Bouncy Ball,1807,F
198320389,Mar/20/2023 09:43,kinannotfound,Bouncy Ball,1807,F
198315467,Mar/20/2023 08:50,kinannotfound,Subsequence Addition (Hard Version),1807,G2
198315455,Mar/20/2023 08:50,kinannotfound,Subsequence Addition (Easy Version),1807,G1
198218360,Mar/19/2023 19:18,kinannotfound,Find and Replace,1807,C
198175612,Mar/19/2023 18:30,kinannotfound,Odd Queries,1807,D
198140161,Mar/19/2023 18:05,kinannotfound,Grab the Candies,1807,B
198128721,Mar/19/2023 18:00,kinannotfound,Plus or Minus,1807,A
198017231,Mar/18/2023 23:13,kinannotfound,Roads in Berland,25,C
197916652,Mar/18/2023 15:20,kinannotfound,Walking Master,1806,A
197900509,Mar/18/2023 14:19,kinannotfound,Greg and Graph,295,B
197899827,Mar/18/2023 14:13,kinannotfound,Greg and Graph,295,B
197729261,Mar/17/2023 10:29,kinannotfound,Two Buttons,520,B
197629556,Mar/16/2023 14:37,kinannotfound,Dijkstra?,20,C
197622703,Mar/16/2023 13:44,kinannotfound,Dijkstra?,20,C
197622349,Mar/16/2023 13:41,kinannotfound,Dijkstra?,20,C
197499455,Mar/15/2023 14:27,kinannotfound,Divisibility by Eight,550,C
197499254,Mar/15/2023 14:26,kinannotfound,Divisibility by Eight,550,C
197492924,Mar/15/2023 13:36,kinannotfound,Alyona and Numbers,682,A
197466257,Mar/15/2023 09:18,kinannotfound,k Factorization,797,A
197466088,Mar/15/2023 09:16,kinannotfound,k Factorization,797,A
197429752,Mar/14/2023 22:25,kinannotfound,Beautiful Divisors,893,B
197406635,Mar/14/2023 19:46,kinannotfound,Modular Exponentiation,913,A
197306555,Mar/14/2023 02:48,kinannotfound,Oleg and shares,793,A
197305362,Mar/14/2023 02:16,kinannotfound,Cows and Primitive Roots,284,A
197289363,Mar/13/2023 22:17,kinannotfound,Round House,659,A
197285892,Mar/13/2023 21:43,kinannotfound,Arpa’s hard exam and Mehrdad’s naive cheat,742,A
197285377,Mar/13/2023 21:38,kinannotfound,Arpa’s hard exam and Mehrdad’s naive cheat,742,A
197272833,Mar/13/2023 19:58,kinannotfound,The Eternal Immortality,869,B
197272157,Mar/13/2023 19:53,kinannotfound,The Eternal Immortality,869,B
197268728,Mar/13/2023 19:27,kinannotfound,The Eternal Immortality,869,B
197268487,Mar/13/2023 19:25,kinannotfound,The Eternal Immortality,869,B
197160915,Mar/12/2023 23:56,kinannotfound,Pull Your Luck,1804,C
197151399,Mar/12/2023 22:20,kinannotfound,Vaccination,1804,B
197096289,Mar/12/2023 18:18,kinannotfound,Lame King,1804,A
196409460,Mar/07/2023 19:06,kinannotfound,PFAST Inc.,114,B
196409283,Mar/07/2023 19:05,kinannotfound,PFAST Inc.,114,B
196402235,Mar/07/2023 18:14,kinannotfound,LLPS,202,A
196401532,Mar/07/2023 18:09,kinannotfound,LLPS,202,A
195137752,Feb/27/2023 17:22,kinannotfound,Ideal Point,1795,B
195112978,Feb/27/2023 13:25,kinannotfound,Polycarp at the Radio,723,C
195069675,Feb/26/2023 23:30,kinannotfound,Text Document Analysis,723,B
195069233,Feb/26/2023 23:24,kinannotfound,Text Document Analysis,723,B
195059323,Feb/26/2023 21:23,kinannotfound,The New Year: Meeting Friends,723,A
194371749,Feb/20/2023 19:51,kinannotfound,Controllers,1776,L
194370550,Feb/20/2023 19:41,kinannotfound,Controllers,1776,L
194351108,Feb/20/2023 16:52,kinannotfound,Beppa and SwerChat,1776,H
194331583,Feb/20/2023 13:38,kinannotfound,Replacing Elements,1473,A
194328015,Feb/20/2023 12:52,kinannotfound,Replacing Elements,1473,A
194285411,Feb/19/2023 23:52,kinannotfound,Walking Boy,1776,A
194276693,Feb/19/2023 22:17,kinannotfound,Make it Beautiful,1783,A
194102633,Feb/18/2023 13:49,kinannotfound,Preparing Olympiad,550,B
194011763,Feb/17/2023 18:54,kinannotfound,Teleporters (Easy Version),1791,G1
193964234,Feb/17/2023 10:43,kinannotfound,Two Towers,1795,A
193914632,Feb/16/2023 20:31,kinannotfound,Classy Numbers,1036,C
193914143,Feb/16/2023 20:27,kinannotfound,Classy Numbers,1036,C
193912049,Feb/16/2023 20:10,kinannotfound,Classy Numbers,1036,C
193579085,Feb/14/2023 13:13,kinannotfound,Dora and Search,1793,C
193560145,Feb/14/2023 11:20,kinannotfound,Fedya and Array,1793,B
193491429,Feb/13/2023 18:43,kinannotfound,Yet Another Promotion,1793,A
193354750,Feb/12/2023 17:03,kinannotfound,Valhalla Siege,975,C
192982831,Feb/09/2023 22:24,kinannotfound,X Sum,1676,D
192979852,Feb/09/2023 21:56,kinannotfound,Most Similar Words,1676,C
192936405,Feb/09/2023 18:44,kinannotfound,One and Two,1788,A
186565411,Dec/24/2022 14:14,kinannotfound,Era,1604,A
183410725,Dec/01/2022 01:24,kinannotfound,Letters Rearranging,1093,B
182478864,Nov/25/2022 18:25,kinannotfound,Long Jumps,1472,C
182448369,Nov/25/2022 13:42,kinannotfound,Cut Ribbon,189,A
182314844,Nov/24/2022 08:29,kinannotfound,Longest Strike,1676,F
182290584,Nov/23/2022 22:52,kinannotfound,Longest Strike,1676,F
181657201,Nov/19/2022 21:33,kinannotfound,Primes on Interval,237,C
180425962,Nov/11/2022 09:29,kinannotfound,Queries about less or equal elements,600,B
180333822,Nov/10/2022 20:04,kinannotfound,Queries about less or equal elements,600,B
178400828,Oct/29/2022 15:43,kinannotfound,Remove Prefix,1714,B
178148956,Oct/27/2022 22:37,kinannotfound,SwapSort,489,A
177904137,Oct/25/2022 19:31,kinannotfound,Array Cloning Technique,1665,B
177897027,Oct/25/2022 18:29,kinannotfound,Two Arrays,1584,C
177265478,Oct/21/2022 09:14,kinannotfound,Magic Powder   1,670,D1
177156857,Oct/20/2022 17:50,kinannotfound,Magic Powder   1,670,D1
177108048,Oct/20/2022 12:47,kinannotfound,Books,279,B
177106438,Oct/20/2022 12:41,kinannotfound,Books,279,B
177104964,Oct/20/2022 12:24,kinannotfound,Magic Powder   1,670,D1
177092679,Oct/20/2022 10:18,kinannotfound,Books,279,B
177057540,Oct/19/2022 23:16,kinannotfound,Books,279,B
177056891,Oct/19/2022 23:08,kinannotfound,Books,279,B
176694841,Oct/17/2022 17:13,kinannotfound,Rebellion,1746,B
176277462,Oct/15/2022 13:24,kinannotfound,DIV + MOD,1650,B
176269098,Oct/15/2022 12:12,kinannotfound,Cat Cycle,1487,B
175932719,Oct/13/2022 17:52,kinannotfound,Stripes,1742,C
175912463,Oct/13/2022 17:41,kinannotfound,Increasing,1742,B
175901404,Oct/13/2022 17:38,kinannotfound,Sum,1742,A
175282488,Oct/09/2022 22:48,kinannotfound,Two Bags of Potatoes,239,A
173578125,Sep/26/2022 15:42,kinannotfound,"Bright, Nice, Brilliant",1734,B
173199692,Sep/23/2022 16:07,kinannotfound,Select Three Sticks,1734,A
172804118,Sep/20/2022 11:49,kinannotfound,Buy a Shovel,732,A
172803304,Sep/20/2022 11:41,kinannotfound,Buy a Shovel,732,A
172801982,Sep/20/2022 11:27,kinannotfound,Vasya the Hipster,581,A
172801849,Sep/20/2022 11:25,kinannotfound,Vasya the Hipster,581,A
172801577,Sep/20/2022 11:22,kinannotfound,Vasya the Hipster,581,A
172768948,Sep/20/2022 02:00,kinannotfound,Police Recruits,427,A
172768779,Sep/20/2022 01:56,kinannotfound,Police Recruits,427,A
172766358,Sep/20/2022 00:53,kinannotfound,New Year and Hurry,750,A
172765301,Sep/20/2022 00:28,kinannotfound,New Year and Hurry,750,A
172764805,Sep/20/2022 00:18,kinannotfound,I_love_\%username\%,155,A
172445179,Sep/17/2022 13:51,kinannotfound,T primes,230,B
172444971,Sep/17/2022 13:48,kinannotfound,T primes,230,B
172246489,Sep/15/2022 16:21,kinannotfound,Fox And Snake,510,A
172243957,Sep/15/2022 15:59,kinannotfound,Fox And Snake,510,A
172239735,Sep/15/2022 15:21,kinannotfound,Registration System,4,C
172237426,Sep/15/2022 14:58,kinannotfound,Registration System,4,C
171330138,Sep/08/2022 15:04,kinannotfound,Add Odd or Subtract Even,1311,A
171189971,Sep/07/2022 06:56,kinannotfound,Primes,102267,B
171189778,Sep/07/2022 06:52,kinannotfound,Primes,102267,B
171188901,Sep/07/2022 06:33,kinannotfound,Primes,102267,B
170959425,Sep/05/2022 17:46,kinannotfound,IQ Test,328,A
170959377,Sep/05/2022 17:45,kinannotfound,IQ Test,328,A
170958754,Sep/05/2022 17:40,kinannotfound,IQ Test,328,A
170946190,Sep/05/2022 15:45,kinannotfound,IQ Test,328,A
170944026,Sep/05/2022 15:24,kinannotfound,IQ Test,328,A
170887807,Sep/04/2022 22:24,kinannotfound,Tricky Sum,598,A
170874757,Sep/04/2022 19:53,kinannotfound,Fence,363,B
170841992,Sep/04/2022 16:06,kinannotfound,Fence,363,B
170758473,Sep/03/2022 18:42,kinannotfound,Dragons,230,A
170757971,Sep/03/2022 18:37,kinannotfound,Dragons,230,A
170757011,Sep/03/2022 18:27,kinannotfound,Dragons,230,A
170106560,Aug/30/2022 00:14,kinannotfound,Sum of 2050,1517,A
170103400,Aug/29/2022 23:15,kinannotfound,Vanya and Lanterns,492,B
170103356,Aug/29/2022 23:15,kinannotfound,Vanya and Lanterns,492,B
170103256,Aug/29/2022 23:13,kinannotfound,Vanya and Lanterns,492,B
170084456,Aug/29/2022 19:30,kinannotfound,Amusing Joke,141,A
170083925,Aug/29/2022 19:25,kinannotfound,Amusing Joke,141,A
170083699,Aug/29/2022 19:22,kinannotfound,Amusing Joke,141,A
170083422,Aug/29/2022 19:20,kinannotfound,Amusing Joke,141,A
170052298,Aug/29/2022 14:07,kinannotfound,Anton and Polyhedrons,785,A
170051805,Aug/29/2022 14:02,kinannotfound,Anton and Polyhedrons,785,A
170051435,Aug/29/2022 13:57,kinannotfound,Anton and Polyhedrons,785,A
170016809,Aug/29/2022 02:17,kinannotfound,Hit the Lottery,996,A
170001935,Aug/28/2022 20:59,kinannotfound,IQ test,25,A
170001534,Aug/28/2022 20:54,kinannotfound,IQ test,25,A
170000906,Aug/28/2022 20:46,kinannotfound,IQ test,25,A
169999368,Aug/28/2022 20:25,kinannotfound,Puzzles,337,A
169999250,Aug/28/2022 20:23,kinannotfound,Puzzles,337,A
169998648,Aug/28/2022 20:15,kinannotfound,Puzzles,337,A
169998510,Aug/28/2022 20:13,kinannotfound,Puzzles,337,A
169715367,Aug/26/2022 18:13,kinannotfound,Complicated GCD,664,A
169707809,Aug/26/2022 17:03,kinannotfound,Integer Sequence Dividing,1102,A
169602171,Aug/25/2022 14:33,kinannotfound,HQ9+,133,A
169569773,Aug/25/2022 06:43,kinannotfound,Find Divisible,1096,A
